"metric","side","n","min","max","median","mean","sd","workload"
"LLC miss rate (%)","Agentic",36,14.4673,60.0583,36.6376,37.1335027777778,11.1339205853999,NA
"uop-cache (DSB) MPKI","SPEC",26,0.250673,113.866,11.10359,30.7233257692308,34.648392633247,NA
"uop-cache (DSB) MPKI","Server",10,4.53925,112.246,47.2026,50.741915,36.8869298997479,NA
"uop-cache (DSB) MPKI","Agentic",36,23.9913,50.839,39.3253,39.5727916666667,7.15512687516042,NA
"IPC","Server:DCPerf",2522,1.320675,2.15855,1.82034,1.82034,NA,"feedsim"
"Branch MPKI","Server:DCPerf",2522,3.436875,7.6173,4.68542,4.68542,NA,"feedsim"
"Branch-direction MPKI","Server:DCPerf",2497,2.0782,3.9756,3.32435,3.32435,NA,"feedsim"
"BTB MPKI (BAClears)","Server:DCPerf",2497,0.5498,2.5559,1.4058,1.4058,NA,"feedsim"
"uop-cache (DSB) MPKI","Server:DCPerf",2497,12.5141,23.4414,16.7911,16.7911,NA,"feedsim"
"DSB coverage (%)","Server:DCPerf",2500,77.46875,86.267525,82.4899,82.4899,NA,"feedsim"
"L1I MPKI (code-read)","Server:DCPerf",2497,3.9907,8.6502,5.66694,5.66694,NA,"feedsim"
"L1I stall (% cycles)","Server:DCPerf",2497,3.1654,6.2189,4.56616,4.56616,NA,"feedsim"
"L1D-load MPKI","Server:DCPerf",2502,8.462975,13.611425,11.681,11.681,NA,"feedsim"
"L2-load MPKI","Server:DCPerf",2502,2.616025,5.14095,4.21672,4.21672,NA,"feedsim"
"LLC MPKI","Server:DCPerf",2502,0.338825,0.56045,0.480402,0.480402,NA,"feedsim"
"L1D miss rate (%)","Server:DCPerf",2502,3.34195,5.104075,4.46076,4.46076,NA,"feedsim"
"L2-load miss rate (%)","Server:DCPerf",2502,30.6551,38.081725,36.0989,36.0989,NA,"feedsim"
"LLC miss rate (%)","Server:DCPerf",2502,10.649925,13.44435,11.3928,11.3928,NA,"feedsim"
"DRAM read (GB/s)","Server:DCPerf",2528,7.073325,12.91655,11.6652,11.6652,NA,"feedsim"
"Context switches (/CPU-s)","Server:DCPerf",2559,144.53325,231.5325,193.735,193.735,NA,"feedsim"
"IPC","Server:Renaissance",1525,1.8665,1.9951,1.93002,1.93002,NA,"finagle-chirper"
"Branch MPKI","Server:Renaissance",1525,1.1833,1.3572,1.33292,1.33292,NA,"finagle-chirper"
"Branch-direction MPKI","Server:Renaissance",1504,0.97015,1.129925,1.10526,1.10526,NA,"finagle-chirper"
"BTB MPKI (BAClears)","Server:Renaissance",1504,0.626175,0.729925,0.722743,0.722743,NA,"finagle-chirper"
"uop-cache (DSB) MPKI","Server:Renaissance",1504,48.693225,54.908175,51.7713,51.7713,NA,"finagle-chirper"
"DSB coverage (%)","Server:Renaissance",1507,57.6919,62.6524,60.193,60.193,NA,"finagle-chirper"
"L1I MPKI (code-read)","Server:Renaissance",1504,24.0539,27.169225,25.4967,25.4967,NA,"finagle-chirper"
"L1I stall (% cycles)","Server:Renaissance",1504,7.0957,7.534575,7.56233,7.56233,NA,"finagle-chirper"
"L1D-load MPKI","Server:Renaissance",1508,8.816125,9.26535,8.99174,8.99174,NA,"finagle-chirper"
"L2-load MPKI","Server:Renaissance",1508,0.5027,0.5492,0.540576,0.540576,NA,"finagle-chirper"
"LLC MPKI","Server:Renaissance",1508,0.0577,0.072,0.0732878,0.0732878,NA,"finagle-chirper"
"L1D miss rate (%)","Server:Renaissance",1508,2.98675,3.15285,3.06009,3.06009,NA,"finagle-chirper"
"L2-load miss rate (%)","Server:Renaissance",1508,5.51725,6.039175,6.01191,6.01191,NA,"finagle-chirper"
"LLC miss rate (%)","Server:Renaissance",1508,11.21585,13.431075,13.5574,13.5574,NA,"finagle-chirper"
"DRAM read (GB/s)","Server:Renaissance",1524,6.31925,6.95355,7.67914,7.67914,NA,"finagle-chirper"
"Context switches (/CPU-s)","Server:Renaissance",1542,8048.808375,8774.737525,9278.1,9278.1,NA,"finagle-chirper"
"IPC","Server:Renaissance",1527,1.4161,1.4282,1.42299,1.42299,NA,"finagle-http"
"Branch MPKI","Server:Renaissance",1527,0.51745,0.55,0.578506,0.578506,NA,"finagle-http"
"Branch-direction MPKI","Server:Renaissance",1512,0.302175,0.33545,0.363886,0.363886,NA,"finagle-http"
"BTB MPKI (BAClears)","Server:Renaissance",1512,1.679975,1.7188,1.69826,1.69826,NA,"finagle-http"
"uop-cache (DSB) MPKI","Server:Renaissance",1512,113.1714,113.561375,112.246,112.246,NA,"finagle-http"
"DSB coverage (%)","Server:Renaissance",1514,12.71455,13.392,14.424,14.424,NA,"finagle-http"
"L1I MPKI (code-read)","Server:Renaissance",1513,52.5891,52.7868,52.2515,52.2515,NA,"finagle-http"
"L1I stall (% cycles)","Server:Renaissance",1513,8.2164,8.3845,8.32378,8.32378,NA,"finagle-http"
"L1D-load MPKI","Server:Renaissance",1511,12.78255,12.8342,12.7143,12.7143,NA,"finagle-http"
"L2-load MPKI","Server:Renaissance",1511,0.6074,0.6182,0.617536,0.617536,NA,"finagle-http"
"LLC MPKI","Server:Renaissance",1511,0.0123,0.0138,0.0179786,0.0179786,NA,"finagle-http"
"L1D miss rate (%)","Server:Renaissance",1511,4.40765,4.42625,4.3858,4.3858,NA,"finagle-http"
"L2-load miss rate (%)","Server:Renaissance",1511,4.7437,4.8291,4.85702,4.85702,NA,"finagle-http"
"LLC miss rate (%)","Server:Renaissance",1511,2.01635,2.2505,2.91135,2.91135,NA,"finagle-http"
"DRAM read (GB/s)","Server:Renaissance",1534,6.542125,6.674,7.59444,7.59444,NA,"finagle-http"
"Context switches (/CPU-s)","Server:Renaissance",1544,40659.375325,41319.29375,40575.1,40575.1,NA,"finagle-http"
"IPC","Server:DaCapo",1539,1.30275,1.37055,1.37344,1.37344,NA,"tomcat"
"Branch MPKI","Server:DaCapo",1539,2.3304,2.8561,2.82879,2.82879,NA,"tomcat"
"Branch-direction MPKI","Server:DaCapo",1514,2.0708,2.47745,2.46686,2.46686,NA,"tomcat"
"BTB MPKI (BAClears)","Server:DaCapo",1514,2.097025,2.438325,2.10066,2.10066,NA,"tomcat"
"uop-cache (DSB) MPKI","Server:DaCapo",1514,73.388975,77.4352,68.9579,68.9579,NA,"tomcat"
"DSB coverage (%)","Server:DaCapo",1517,36.9241,42.1559,46.2321,46.2321,NA,"tomcat"
"L1I MPKI (code-read)","Server:DaCapo",1521,41.9819,44.5854,38.9236,38.9236,NA,"tomcat"
"L1I stall (% cycles)","Server:DaCapo",1521,8.1808,9.0356,8.43476,8.43476,NA,"tomcat"
"L1D-load MPKI","Server:DaCapo",1517,7.0005,7.1412,7.19862,7.19862,NA,"tomcat"
"L2-load MPKI","Server:DaCapo",1517,0.3574,0.4346,0.41614,0.41614,NA,"tomcat"
"LLC MPKI","Server:DaCapo",1517,0.0194,0.0377,0.0394627,0.0394627,NA,"tomcat"
"L1D miss rate (%)","Server:DaCapo",1517,2.7918,2.8647,2.81688,2.81688,NA,"tomcat"
"L2-load miss rate (%)","Server:DaCapo",1517,4.9855,6.1452,5.78082,5.78082,NA,"tomcat"
"LLC miss rate (%)","Server:DaCapo",1517,5.1051,9.2415,9.48305,9.48305,NA,"tomcat"
"DRAM read (GB/s)","Server:DaCapo",1539,0.5262,0.61895,0.742931,0.742931,NA,"tomcat"
"Context switches (/CPU-s)","Server:DaCapo",1552,34004.366625,38542.35705,33712.8,33712.8,NA,"tomcat"
"IPC","Server:RealData",0,NA,NA,1.27902,1.27902,NA,"cassandra-ycsb20m"
"Branch MPKI","Server:RealData",0,NA,NA,2.03501,2.03501,NA,"cassandra-ycsb20m"
"Branch-direction MPKI","Server:RealData",0,NA,NA,2.15013,2.15013,NA,"cassandra-ycsb20m"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.805884,0.805884,NA,"cassandra-ycsb20m"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,72.5696,72.5696,NA,"cassandra-ycsb20m"
"DSB coverage (%)","Server:RealData",0,NA,NA,39.2964,39.2964,NA,"cassandra-ycsb20m"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,37.3598,37.3598,NA,"cassandra-ycsb20m"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,7.36129,7.36129,NA,"cassandra-ycsb20m"
"L1D-load MPKI","Server:RealData",0,NA,NA,8.09959,8.09959,NA,"cassandra-ycsb20m"
"L2-load MPKI","Server:RealData",0,NA,NA,0.950188,0.950188,NA,"cassandra-ycsb20m"
"LLC MPKI","Server:RealData",0,NA,NA,0.279664,0.279664,NA,"cassandra-ycsb20m"
"L1D miss rate (%)","Server:RealData",0,NA,NA,3.15849,3.15849,NA,"cassandra-ycsb20m"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,11.7313,11.7313,NA,"cassandra-ycsb20m"
"LLC miss rate (%)","Server:RealData",0,NA,NA,29.4325,29.4325,NA,"cassandra-ycsb20m"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,11.0908,11.0908,NA,"cassandra-ycsb20m"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,16525.8,16525.8,NA,"cassandra-ycsb20m"
"IPC","Server:RealData",0,NA,NA,1.20841,1.20841,NA,"kafka-20g"
"Branch MPKI","Server:RealData",0,NA,NA,1.14766,1.14766,NA,"kafka-20g"
"Branch-direction MPKI","Server:RealData",0,NA,NA,0.815956,0.815956,NA,"kafka-20g"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.863551,0.863551,NA,"kafka-20g"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,98.4371,98.4371,NA,"kafka-20g"
"DSB coverage (%)","Server:RealData",0,NA,NA,21.3097,21.3097,NA,"kafka-20g"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,49.388,49.388,NA,"kafka-20g"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,6.51401,6.51401,NA,"kafka-20g"
"L1D-load MPKI","Server:RealData",0,NA,NA,9.39701,9.39701,NA,"kafka-20g"
"L2-load MPKI","Server:RealData",0,NA,NA,0.496963,0.496963,NA,"kafka-20g"
"LLC MPKI","Server:RealData",0,NA,NA,0.103059,0.103059,NA,"kafka-20g"
"L1D miss rate (%)","Server:RealData",0,NA,NA,3.53103,3.53103,NA,"kafka-20g"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,5.28853,5.28853,NA,"kafka-20g"
"LLC miss rate (%)","Server:RealData",0,NA,NA,20.7377,20.7377,NA,"kafka-20g"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,0.875758,0.875758,NA,"kafka-20g"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,26679.2,26679.2,NA,"kafka-20g"
"IPC","Server:RealData",0,NA,NA,1.39707,1.39707,NA,"naivebayes-rcv1"
"Branch MPKI","Server:RealData",0,NA,NA,1.47274,1.47274,NA,"naivebayes-rcv1"
"Branch-direction MPKI","Server:RealData",0,NA,NA,1.4433,1.4433,NA,"naivebayes-rcv1"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.108724,0.108724,NA,"naivebayes-rcv1"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,12.5552,12.5552,NA,"naivebayes-rcv1"
"DSB coverage (%)","Server:RealData",0,NA,NA,89.6281,89.6281,NA,"naivebayes-rcv1"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,2.9187,2.9187,NA,"naivebayes-rcv1"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,1.86343,1.86343,NA,"naivebayes-rcv1"
"L1D-load MPKI","Server:RealData",0,NA,NA,26.2738,26.2738,NA,"naivebayes-rcv1"
"L2-load MPKI","Server:RealData",0,NA,NA,10.4208,10.4208,NA,"naivebayes-rcv1"
"LLC MPKI","Server:RealData",0,NA,NA,3.94635,3.94635,NA,"naivebayes-rcv1"
"L1D miss rate (%)","Server:RealData",0,NA,NA,9.54239,9.54239,NA,"naivebayes-rcv1"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,39.6625,39.6625,NA,"naivebayes-rcv1"
"LLC miss rate (%)","Server:RealData",0,NA,NA,37.8698,37.8698,NA,"naivebayes-rcv1"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,26.1214,26.1214,NA,"naivebayes-rcv1"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,355.094,355.094,NA,"naivebayes-rcv1"
"IPC","Server:RealData",0,NA,NA,2.15063,2.15063,NA,"neo4j-livejournal"
"Branch MPKI","Server:RealData",0,NA,NA,1.6499,1.6499,NA,"neo4j-livejournal"
"Branch-direction MPKI","Server:RealData",0,NA,NA,1.41977,1.41977,NA,"neo4j-livejournal"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.730423,0.730423,NA,"neo4j-livejournal"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,26.9178,26.9178,NA,"neo4j-livejournal"
"DSB coverage (%)","Server:RealData",0,NA,NA,76.4404,76.4404,NA,"neo4j-livejournal"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,14.2989,14.2989,NA,"neo4j-livejournal"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,9.28171,9.28171,NA,"neo4j-livejournal"
"L1D-load MPKI","Server:RealData",0,NA,NA,3.94008,3.94008,NA,"neo4j-livejournal"
"L2-load MPKI","Server:RealData",0,NA,NA,0.611888,0.611888,NA,"neo4j-livejournal"
"LLC MPKI","Server:RealData",0,NA,NA,0.189226,0.189226,NA,"neo4j-livejournal"
"L1D miss rate (%)","Server:RealData",0,NA,NA,1.42253,1.42253,NA,"neo4j-livejournal"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,15.5299,15.5299,NA,"neo4j-livejournal"
"LLC miss rate (%)","Server:RealData",0,NA,NA,30.9249,30.9249,NA,"neo4j-livejournal"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,4.31307,4.31307,NA,"neo4j-livejournal"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,17245.3,17245.3,NA,"neo4j-livejournal"
"IPC","Server:RealData",0,NA,NA,1.69761,1.69761,NA,"pagerank-livejournal"
"Branch MPKI","Server:RealData",0,NA,NA,1.54219,1.54219,NA,"pagerank-livejournal"
"Branch-direction MPKI","Server:RealData",0,NA,NA,1.53721,1.53721,NA,"pagerank-livejournal"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.0119459,0.0119459,NA,"pagerank-livejournal"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,4.53925,4.53925,NA,"pagerank-livejournal"
"DSB coverage (%)","Server:RealData",0,NA,NA,96.9237,96.9237,NA,"pagerank-livejournal"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,0.46074,0.46074,NA,"pagerank-livejournal"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,0.381389,0.381389,NA,"pagerank-livejournal"
"L1D-load MPKI","Server:RealData",0,NA,NA,2.60256,2.60256,NA,"pagerank-livejournal"
"L2-load MPKI","Server:RealData",0,NA,NA,1.12883,1.12883,NA,"pagerank-livejournal"
"LLC MPKI","Server:RealData",0,NA,NA,0.798679,0.798679,NA,"pagerank-livejournal"
"L1D miss rate (%)","Server:RealData",0,NA,NA,0.847397,0.847397,NA,"pagerank-livejournal"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,43.3739,43.3739,NA,"pagerank-livejournal"
"LLC miss rate (%)","Server:RealData",0,NA,NA,70.7525,70.7525,NA,"pagerank-livejournal"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,11.0654,11.0654,NA,"pagerank-livejournal"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,74.1877,74.1877,NA,"pagerank-livejournal"
"IPC","Server:RealData",0,NA,NA,2.45967,2.45967,NA,"video-4k"
"Branch MPKI","Server:RealData",0,NA,NA,1.36702,1.36702,NA,"video-4k"
"Branch-direction MPKI","Server:RealData",0,NA,NA,1.32918,1.32918,NA,"video-4k"
"BTB MPKI (BAClears)","Server:RealData",0,NA,NA,0.0309254,0.0309254,NA,"video-4k"
"uop-cache (DSB) MPKI","Server:RealData",0,NA,NA,42.6339,42.6339,NA,"video-4k"
"DSB coverage (%)","Server:RealData",0,NA,NA,63.6349,63.6349,NA,"video-4k"
"L1I MPKI (code-read)","Server:RealData",0,NA,NA,7.59938,7.59938,NA,"video-4k"
"L1I stall (% cycles)","Server:RealData",0,NA,NA,1.92256,1.92256,NA,"video-4k"
"L1D-load MPKI","Server:RealData",0,NA,NA,5.40068,5.40068,NA,"video-4k"
"L2-load MPKI","Server:RealData",0,NA,NA,0.465729,0.465729,NA,"video-4k"
"LLC MPKI","Server:RealData",0,NA,NA,0.404632,0.404632,NA,"video-4k"
"L1D miss rate (%)","Server:RealData",0,NA,NA,2.24967,2.24967,NA,"video-4k"
"L2-load miss rate (%)","Server:RealData",0,NA,NA,8.62352,8.62352,NA,"video-4k"
"LLC miss rate (%)","Server:RealData",0,NA,NA,86.8816,86.8816,NA,"video-4k"
"DRAM read (GB/s)","Server:RealData",0,NA,NA,7.95862,7.95862,NA,"video-4k"
"Context switches (/CPU-s)","Server:RealData",0,NA,NA,70.9272,70.9272,NA,"video-4k"
