"metric","side","n","min","max","median","mean","sd","workload"
"Context switches (/CPU-s)","Renaissance",1544,40659.375325,41319.29375,41000.85535,41000.85535,NA,"finagle-http"
"Context switches (/CPU-s)","Renaissance",1525,138.0477,554.2181,180.0315,180.0315,NA,"naive-bayes"
"Context switches (/CPU-s)","Renaissance",1543,187.19045,494.32975,440.0131,440.0131,NA,"neo4j-analytics"
"Context switches (/CPU-s)","Renaissance",1541,23.0407,254.4061,106.1797,106.1797,NA,"page-rank"
"DRAM read (GB/s)","DCPerf",2528,7.073325,12.91655,11.5039,11.5039,NA,"feedsim"
"DRAM read (GB/s)","DCPerf",1518,2.8742,4.922275,3.8016,3.8016,NA,"video_transcode"
"DRAM read (GB/s)","DaCapo",1535,0.0032,3.53145,0.0185,0.0185,NA,"cassandra"
"DRAM read (GB/s)","DaCapo",1523,0.71865,0.79335,0.738,0.738,NA,"kafka"
"DRAM read (GB/s)","DaCapo",1539,0.5262,0.61895,0.5676,0.5676,NA,"tomcat"
"DRAM read (GB/s)","Renaissance",1524,6.31925,6.95355,6.68115,6.68115,NA,"finagle-chirper"
"DRAM read (GB/s)","Renaissance",1534,6.542125,6.674,6.613,6.613,NA,"finagle-http"
"DRAM read (GB/s)","Renaissance",1509,5.1619,11.9736,8.8897,8.8897,NA,"naive-bayes"
"DRAM read (GB/s)","Renaissance",1532,1.252,2.636975,1.6427,1.6427,NA,"neo4j-analytics"
"DRAM read (GB/s)","Renaissance",1526,2.9368,6.5246,4.08105,4.08105,NA,"page-rank"
"DSB coverage (%)","DCPerf",2500,77.46875,86.267525,82.16525,82.16525,NA,"feedsim"
"DSB coverage (%)","DCPerf",1504,52.75595,61.149925,56.67075,56.67075,NA,"video_transcode"
"DSB coverage (%)","DaCapo",1516,7.030175,16.8263,11.2163,11.2163,NA,"cassandra"
"DSB coverage (%)","DaCapo",1510,43.108875,44.41415,43.68925,43.68925,NA,"kafka"
"DSB coverage (%)","DaCapo",1517,36.9241,42.1559,37.554,37.554,NA,"tomcat"
"DSB coverage (%)","Renaissance",1507,57.6919,62.6524,60.1276,60.1276,NA,"finagle-chirper"
"DSB coverage (%)","Renaissance",1514,12.71455,13.392,13.3143,13.3143,NA,"finagle-http"
"DSB coverage (%)","Renaissance",1485,88.5894,93.6872,91.9531,91.9531,NA,"naive-bayes"
"DSB coverage (%)","Renaissance",1514,58.098725,75.118075,63.1,63.1,NA,"neo4j-analytics"
"DSB coverage (%)","Renaissance",1505,93.4433,97.8726,96.1544,96.1544,NA,"page-rank"
"IPC","DCPerf",2522,1.320675,2.15855,1.72515,1.72515,NA,"feedsim"
"IPC","DCPerf",1512,2.56015,2.689725,2.6201,2.6201,NA,"video_transcode"
"IPC","DaCapo",1537,0.6164,0.993,0.905,0.905,NA,"cassandra"
"IPC","DaCapo",1540,1.330675,1.3923,1.35825,1.35825,NA,"kafka"
"IPC","DaCapo",1539,1.30275,1.37055,1.3332,1.3332,NA,"tomcat"
"IPC","Renaissance",1525,1.8665,1.9951,1.9538,1.9538,NA,"finagle-chirper"
"IPC","Renaissance",1527,1.4161,1.4282,1.4228,1.4228,NA,"finagle-http"
"IPC","Renaissance",1514,2.365275,3.875575,3.6009,3.6009,NA,"naive-bayes"
"IPC","Renaissance",1530,3.104175,3.46435,3.2969,3.2969,NA,"neo4j-analytics"
"IPC","Renaissance",1530,1.64245,2.46165,2.0897,2.0897,NA,"page-rank"
"L1D miss rate (%)","DCPerf",2502,3.34195,5.104075,4.47525,4.47525,NA,"feedsim"
"L1D miss rate (%)","DCPerf",1505,1.5595,2.153,1.8239,1.8239,NA,"video_transcode"
"L1D miss rate (%)","DaCapo",1517,4.4118,5.1364,4.8414,4.8414,NA,"cassandra"
"L1D miss rate (%)","DaCapo",1505,2.2907,2.4107,2.3521,2.3521,NA,"kafka"
"L1D miss rate (%)","DaCapo",1517,2.7918,2.8647,2.8377,2.8377,NA,"tomcat"
"L1D miss rate (%)","Renaissance",1508,2.98675,3.15285,3.06805,3.06805,NA,"finagle-chirper"
"L1D miss rate (%)","Renaissance",1511,4.40765,4.42625,4.4146,4.4146,NA,"finagle-http"
"L1D miss rate (%)","Renaissance",1486,0.2752,0.421525,0.313,0.313,NA,"naive-bayes"
"L1D miss rate (%)","Renaissance",1516,0.338675,0.4502,0.38925,0.38925,NA,"neo4j-analytics"
"L1D miss rate (%)","Renaissance",1506,0.46215,1.007025,0.61955,0.61955,NA,"page-rank"
"L1D-load MPKI","DCPerf",2502,8.462975,13.611425,11.73125,11.73125,NA,"feedsim"
"L1D-load MPKI","DCPerf",1505,4.0062,5.3134,4.6005,4.6005,NA,"video_transcode"
"L1D-load MPKI","DaCapo",1517,11.3489,13.0963,12.3325,12.3325,NA,"cassandra"
"L1D-load MPKI","DaCapo",1505,6.0792,6.375,6.2302,6.2302,NA,"kafka"
"L1D-load MPKI","DaCapo",1517,7.0005,7.1412,7.0684,7.0684,NA,"tomcat"
"L1D-load MPKI","Renaissance",1508,8.816125,9.26535,9.04405,9.04405,NA,"finagle-chirper"
"L1D-load MPKI","Renaissance",1511,12.78255,12.8342,12.8029,12.8029,NA,"finagle-http"
"L1D-load MPKI","Renaissance",1486,0.882525,1.304725,0.9983,0.9983,NA,"naive-bayes"
"L1D-load MPKI","Renaissance",1516,0.968975,1.26735,1.0845,1.0845,NA,"neo4j-analytics"
"L1D-load MPKI","Renaissance",1506,1.417675,3.0629,1.83765,1.83765,NA,"page-rank"
"L1I MPKI (code-read)","DCPerf",2497,3.9907,8.6502,5.9953,5.9953,NA,"feedsim"
"L1I MPKI (code-read)","DCPerf",1501,10.2186,13.6346,12.0339,12.0339,NA,"video_transcode"
"L1I MPKI (code-read)","DaCapo",1514,69.149125,102.09635,70.8417,70.8417,NA,"cassandra"
"L1I MPKI (code-read)","DaCapo",1508,18.032575,19.004475,18.4358,18.4358,NA,"kafka"
"L1I MPKI (code-read)","DaCapo",1521,41.9819,44.5854,43.7894,43.7894,NA,"tomcat"
"L1I MPKI (code-read)","Renaissance",1504,24.0539,27.169225,25.45515,25.45515,NA,"finagle-chirper"
"L1I MPKI (code-read)","Renaissance",1513,52.5891,52.7868,52.6894,52.6894,NA,"finagle-http"
"L1I MPKI (code-read)","Renaissance",1488,0.192875,3.222475,0.79555,0.79555,NA,"naive-bayes"
"L1I MPKI (code-read)","Renaissance",1513,3.807,7.163,5.5122,5.5122,NA,"neo4j-analytics"
"L1I MPKI (code-read)","Renaissance",1505,0.1759,1.4515,0.4434,0.4434,NA,"page-rank"
"L1I stall (% cycles)","DCPerf",2497,3.1654,6.2189,4.7736,4.7736,NA,"feedsim"
"L1I stall (% cycles)","DCPerf",1501,2.5243,3.0378,2.7642,2.7642,NA,"video_transcode"
"L1I stall (% cycles)","DaCapo",1514,8.03285,25.1877,13.18445,13.18445,NA,"cassandra"
"L1I stall (% cycles)","DaCapo",1508,3.0667,3.45645,3.2425,3.2425,NA,"kafka"
"L1I stall (% cycles)","DaCapo",1521,8.1808,9.0356,8.6113,8.6113,NA,"tomcat"
"L1I stall (% cycles)","Renaissance",1504,7.0957,7.534575,7.28465,7.28465,NA,"finagle-chirper"
"L1I stall (% cycles)","Renaissance",1513,8.2164,8.3845,8.2911,8.2911,NA,"finagle-http"
"L1I stall (% cycles)","Renaissance",1488,0.5219,1.734725,0.86605,0.86605,NA,"naive-bayes"
"L1I stall (% cycles)","Renaissance",1513,1.4308,2.0236,1.7928,1.7928,NA,"neo4j-analytics"
"L1I stall (% cycles)","Renaissance",1505,0.2645,0.8158,0.4107,0.4107,NA,"page-rank"
"L2-load MPKI","DCPerf",2502,2.616025,5.14095,4.23765,4.23765,NA,"feedsim"
"L2-load MPKI","DCPerf",1505,0.1028,0.2148,0.1511,0.1511,NA,"video_transcode"
"L2-load MPKI","DaCapo",1517,0.8166,2.6983,1.5057,1.5057,NA,"cassandra"
"L2-load MPKI","DaCapo",1505,0.5938,0.6614,0.6274,0.6274,NA,"kafka"
"L2-load MPKI","DaCapo",1517,0.3574,0.4346,0.3948,0.3948,NA,"tomcat"
"L2-load MPKI","Renaissance",1508,0.5027,0.5492,0.52285,0.52285,NA,"finagle-chirper"
"L2-load MPKI","Renaissance",1511,0.6074,0.6182,0.6123,0.6123,NA,"finagle-http"
"L2-load MPKI","Renaissance",1486,0.089325,0.1692,0.1045,0.1045,NA,"naive-bayes"
"L2-load MPKI","Renaissance",1516,0.174075,0.362,0.311,0.311,NA,"neo4j-analytics"
"L2-load MPKI","Renaissance",1506,0.4095,1.17135,0.7694,0.7694,NA,"page-rank"
"L2-load miss rate (%)","DCPerf",2502,30.6551,38.081725,36.16645,36.16645,NA,"feedsim"
"L2-load miss rate (%)","DCPerf",1505,2.2841,4.3903,3.116,3.116,NA,"video_transcode"
"L2-load miss rate (%)","DaCapo",1517,6.4908,23.094,13.8761,13.8761,NA,"cassandra"
"L2-load miss rate (%)","DaCapo",1505,9.702,10.8653,10.2704,10.2704,NA,"kafka"
"L2-load miss rate (%)","DaCapo",1517,4.9855,6.1452,5.5536,5.5536,NA,"tomcat"
"L2-load miss rate (%)","Renaissance",1508,5.51725,6.039175,5.73185,5.73185,NA,"finagle-chirper"
"L2-load miss rate (%)","Renaissance",1511,4.7437,4.8291,4.7841,4.7841,NA,"finagle-http"
"L2-load miss rate (%)","Renaissance",1486,9.6385,13.020525,10.43635,10.43635,NA,"naive-bayes"
"L2-load miss rate (%)","Renaissance",1516,21.7211,33.225275,26.93175,26.93175,NA,"neo4j-analytics"
"L2-load miss rate (%)","Renaissance",1506,27.750675,45.65945,36.05015,36.05015,NA,"page-rank"
"LLC MPKI","DCPerf",2502,0.338825,0.56045,0.4793,0.4793,NA,"feedsim"
"LLC MPKI","DCPerf",1505,0.0448,0.1124,0.0663,0.0663,NA,"video_transcode"
"LLC MPKI","DaCapo",1517,0.1157,0.9606,0.3201,0.3201,NA,"cassandra"
"LLC MPKI","DaCapo",1505,0.2681,0.3259,0.297,0.297,NA,"kafka"
"LLC MPKI","DaCapo",1517,0.0194,0.0377,0.0284,0.0284,NA,"tomcat"
"LLC MPKI","Renaissance",1508,0.0577,0.072,0.0618,0.0618,NA,"finagle-chirper"
"LLC MPKI","Renaissance",1511,0.0123,0.0138,0.0133,0.0133,NA,"finagle-http"
"LLC MPKI","Renaissance",1486,0.0688,0.108875,0.07565,0.07565,NA,"naive-bayes"
"LLC MPKI","Renaissance",1516,0.08435,0.1632,0.11855,0.11855,NA,"neo4j-analytics"
"LLC MPKI","Renaissance",1506,0.23725,0.71245,0.38055,0.38055,NA,"page-rank"
"LLC miss rate (%)","DCPerf",2502,10.649925,13.44435,11.67915,11.67915,NA,"feedsim"
"LLC miss rate (%)","DCPerf",1505,42.0017,60.1924,51.1089,51.1089,NA,"video_transcode"
"LLC miss rate (%)","DaCapo",1516,13.941625,39.056425,19.2605,19.2605,NA,"cassandra"
"LLC miss rate (%)","DaCapo",1505,44.4024,50.5989,47.5798,47.5798,NA,"kafka"
"LLC miss rate (%)","DaCapo",1517,5.1051,9.2415,7.0261,7.0261,NA,"tomcat"
"LLC miss rate (%)","Renaissance",1508,11.21585,13.431075,11.9762,11.9762,NA,"finagle-chirper"
"LLC miss rate (%)","Renaissance",1511,2.01635,2.2505,2.1617,2.1617,NA,"finagle-http"
"LLC miss rate (%)","Renaissance",1486,64.884225,80.281525,75.57685,75.57685,NA,"naive-bayes"
"LLC miss rate (%)","Renaissance",1516,36.54385,53.496975,43.9696,43.9696,NA,"neo4j-analytics"
"LLC miss rate (%)","Renaissance",1506,48.08385,68.243975,59.4328,59.4328,NA,"page-rank"
"uop-cache (DSB) MPKI","DCPerf",2497,12.5141,23.4414,18.0177,18.0177,NA,"feedsim"
"uop-cache (DSB) MPKI","DCPerf",1500,48.650575,58.464025,54.10115,54.10115,NA,"video_transcode"
"uop-cache (DSB) MPKI","DaCapo",1504,112.721925,138.861325,113.93885,113.93885,NA,"cassandra"
"uop-cache (DSB) MPKI","DaCapo",1509,64.393,66.036,65.0772,65.0772,NA,"kafka"
"uop-cache (DSB) MPKI","DaCapo",1514,73.388975,77.4352,76.84015,76.84015,NA,"tomcat"
"uop-cache (DSB) MPKI","Renaissance",1504,48.693225,54.908175,51.7684,51.7684,NA,"finagle-chirper"
"uop-cache (DSB) MPKI","Renaissance",1512,113.1714,113.561375,113.32995,113.32995,NA,"finagle-http"
"uop-cache (DSB) MPKI","Renaissance",1481,5.8363,10.7991,7.0754,7.0754,NA,"naive-bayes"
"uop-cache (DSB) MPKI","Renaissance",1513,25.8555,45.7817,38.6773,38.6773,NA,"neo4j-analytics"
"uop-cache (DSB) MPKI","Renaissance",1503,2.18165,11.41615,5.607,5.607,NA,"page-rank"
