instance_id,repo,language,ps_chars,ps_has_traceback,ps_has_repro,hints_chars,patch_files,patch_hunks,patch_add,patch_del,patch_exts,test_files,test_hunks,test_add,n_f2p,n_p2p,touches_header,touches_build,touches_core
astral-sh__ruff-15394,astral-sh/ruff,Rust,944,0,1,318,1,1,37,5,.rs,2,3,226,1,8,0,0,1
astral-sh__ruff-15443,astral-sh/ruff,Rust,1252,0,1,0,2,2,3,7,.rs,4,6,41,1,58,0,0,1
astral-sh__ruff-15543,astral-sh/ruff,Rust,961,0,1,0,1,2,7,1,.rs,2,2,22,1,124,0,0,1
astral-sh__ruff-15626,astral-sh/ruff,Rust,739,0,1,0,1,4,12,2,.rs,2,8,6,2,34,0,0,1
axios__axios-4731,axios/axios,JavaScript,1445,0,1,833,1,1,3,0,.js,1,1,30,1,1,0,0,0
axios__axios-4738,axios/axios,JavaScript,2264,0,1,0,1,1,5,1,.js,1,1,1,1,3,0,0,0
axios__axios-5085,axios/axios,JavaScript,1201,0,1,857,2,4,5,11,.js .ts,2,3,40,1,1,0,0,0
axios__axios-5316,axios/axios,JavaScript,1658,0,1,0,8,17,195,24,.cjs .js .json,1,5,109,1,2,0,1,0
axios__axios-5892,axios/axios,JavaScript,854,0,1,0,1,1,1,1,.js,1,1,1,3,30,0,0,0
axios__axios-6539,axios/axios,JavaScript,3824,0,1,200,1,1,2,2,.js,2,2,47,1,0,0,0,0
babel__babel-13928,babel/babel,JavaScript,1029,0,1,6666,1,1,1,1,.js,4,4,182,2,247,0,0,0
babel__babel-14532,babel/babel,JavaScript,2223,0,1,2643,1,2,2,0,.ts,2,2,6,1,523,0,0,0
babel__babel-15445,babel/babel,JavaScript,5790,0,1,508,1,1,1,1,.ts,1,1,34,1,55,0,0,0
babel__babel-15649,babel/babel,JavaScript,1308,0,1,501,1,2,18,0,.ts,1,1,88,1,105,0,0,0
babel__babel-16130,babel/babel,JavaScript,2824,0,1,504,1,1,1,0,.ts,8,4,32,1,11,0,0,0
briannesbitt__carbon-2665,briannesbitt/carbon,PHP,1528,0,1,0,1,2,9,1,.php,1,1,15,1,10,0,0,0
briannesbitt__carbon-2752,briannesbitt/carbon,PHP,2329,0,1,142,1,1,2,2,.php,1,1,2,1,150,0,0,0
briannesbitt__carbon-2762,briannesbitt/carbon,PHP,3072,0,1,0,1,2,15,1,.php,1,1,47,2,4,0,0,0
briannesbitt__carbon-2813,briannesbitt/carbon,PHP,124,0,0,0,3,7,47,17,.json .php,1,2,10,1,3,0,1,0
briannesbitt__carbon-2981,briannesbitt/carbon,PHP,2702,0,1,150,1,8,29,0,.php,1,1,11,1,29,0,0,0
briannesbitt__carbon-3005,briannesbitt/carbon,PHP,2908,0,1,0,5,7,66,36,.neon .php,2,2,58,1,34,0,0,0
briannesbitt__carbon-3041,briannesbitt/carbon,PHP,3209,0,1,0,2,11,42,7,.php,1,1,31,1,65,0,0,0
briannesbitt__carbon-3073,briannesbitt/carbon,PHP,3141,0,1,519,1,5,11,1,.php,1,1,13,1,30,0,0,0
briannesbitt__carbon-3098,briannesbitt/carbon,PHP,1259,0,1,0,1,5,14,3,.php,1,1,3,1,36,0,0,0
briannesbitt__carbon-3103,briannesbitt/carbon,PHP,3308,0,1,187,1,1,1,1,.php,2,2,16,1,45,0,0,0
burntsushi__ripgrep-2209,burntsushi/ripgrep,Rust,4096,0,1,39,1,2,50,20,.rs,1,1,74,1,0,0,0,1
burntsushi__ripgrep-2576,burntsushi/ripgrep,Rust,1936,0,1,0,2,3,16,2,.md .rs,1,1,15,1,85,0,0,1
caddyserver__caddy-4774,caddyserver/caddy,Go,1552,0,1,0,2,6,24,5,.go,1,3,5,1,0,0,0,1
caddyserver__caddy-4943,caddyserver/caddy,Go,2966,0,1,209,1,3,9,2,.go,1,2,9,1,5,0,0,1
caddyserver__caddy-5404,caddyserver/caddy,Go,3408,1,1,101,1,3,13,6,.go,2,7,64,1,18,0,0,1
caddyserver__caddy-5626,caddyserver/caddy,Go,754,0,1,42,3,6,30,25,.go,1,1,73,1,1,0,0,1
caddyserver__caddy-5761,caddyserver/caddy,Go,277,0,1,252,1,1,13,3,.go,1,2,48,1,0,0,0,1
caddyserver__caddy-5870,caddyserver/caddy,Go,1807,0,1,88,1,1,14,2,.go,1,1,6,1,0,0,0,1
caddyserver__caddy-5995,caddyserver/caddy,Go,1160,0,1,50,1,1,1,1,.go,3,4,69,1,0,0,0,1
caddyserver__caddy-6051,caddyserver/caddy,Go,545,0,1,138,1,1,5,0,.go,1,1,42,1,19,0,0,1
caddyserver__caddy-6115,caddyserver/caddy,Go,1092,0,1,873,1,1,12,2,.go,1,2,54,1,16,0,0,1
caddyserver__caddy-6288,caddyserver/caddy,Go,867,0,1,1191,2,4,31,9,.go,1,3,42,1,0,0,0,1
caddyserver__caddy-6345,caddyserver/caddy,Go,313,0,0,0,1,2,6,0,.go,1,1,67,1,0,0,0,1
caddyserver__caddy-6350,caddyserver/caddy,Go,1533,0,1,668,1,2,24,20,.go,1,2,48,1,0,0,0,1
caddyserver__caddy-6370,caddyserver/caddy,Go,667,0,1,0,1,2,7,11,.go,1,2,24,3,8,0,0,1
caddyserver__caddy-6411,caddyserver/caddy,Go,501,0,0,3777,1,2,3,0,.go,3,4,18,1,1,0,0,1
facebook__docusaurus-10130,facebook/docusaurus,TypeScript,2744,0,1,2912,1,1,9,1,.ts,1,1,26,1,34,0,0,0
facebook__docusaurus-10309,facebook/docusaurus,TypeScript,3208,0,1,1358,1,1,17,8,.ts,1,4,240,4,8,0,0,0
facebook__docusaurus-8927,facebook/docusaurus,TypeScript,1826,0,1,142,1,3,24,10,.ts,2,3,125,2,12,0,0,0
facebook__docusaurus-9183,facebook/docusaurus,TypeScript,1584,0,1,3256,3,5,18,5,.js .ts .tsx,1,3,43,1,35,0,0,0
facebook__docusaurus-9897,facebook/docusaurus,TypeScript,1721,0,1,602,1,1,2,2,.ts,1,1,31,1,91,0,0,0
faker-ruby__faker-2705,faker-ruby/faker,Ruby,1092,0,1,0,1,1,4,0,.rb,1,1,6,1,15,0,0,0
faker-ruby__faker-2970,faker-ruby/faker,Ruby,767,0,1,2115,1,1,1,1,.rb,1,1,16,1,8,0,0,0
fastlane__fastlane-19207,fastlane/fastlane,Ruby,69351,0,1,0,1,2,3,2,.rb,1,1,13,1,9,0,0,0
fastlane__fastlane-19304,fastlane/fastlane,Ruby,17477,0,1,590,1,1,2,2,.rb,1,1,13,1,10,0,0,0
fastlane__fastlane-19765,fastlane/fastlane,Ruby,11675,0,1,0,1,1,1,1,.rb,1,2,16,1,7,0,0,0
fastlane__fastlane-20642,fastlane/fastlane,Ruby,12011,0,0,891,1,1,1,1,.rb,1,1,2,1,12,0,0,0
fastlane__fastlane-20958,fastlane/fastlane,Ruby,1839,0,1,188,1,1,19,15,.rb,1,2,95,1,12,0,0,0
fastlane__fastlane-20975,fastlane/fastlane,Ruby,10519,0,1,909,1,1,6,0,.rb,1,1,12,1,7,0,0,0
fastlane__fastlane-21857,fastlane/fastlane,Ruby,14743,0,1,989,1,1,16,0,.rb,1,1,36,1,2,0,0,0
fluent__fluentd-3328,fluent/fluentd,Ruby,6388,0,1,387,1,1,2,1,.rb,1,1,18,1,0,0,0,0
fluent__fluentd-3466,fluent/fluentd,Ruby,5630,0,1,363,1,3,9,1,.rb,1,2,44,1,0,0,0,0
fluent__fluentd-3608,fluent/fluentd,Ruby,8179,0,1,0,1,1,8,4,.rb,1,1,47,1,4,0,0,0
fluent__fluentd-3616,fluent/fluentd,Ruby,940,0,0,0,1,2,11,1,.rb,1,1,23,1,2,0,0,0
fluent__fluentd-3631,fluent/fluentd,Ruby,2054,0,1,623,1,3,19,1,.rb,1,1,17,1,1,0,0,0
fluent__fluentd-3640,fluent/fluentd,Ruby,2372,0,1,0,1,1,1,1,.rb,1,1,1,1,6,0,0,0
fluent__fluentd-3641,fluent/fluentd,Ruby,2393,0,1,2021,1,1,4,3,.rb,1,4,41,5,15,0,0,0
fluent__fluentd-3917,fluent/fluentd,Ruby,3226,0,1,504,1,2,18,1,.rb,1,1,57,1,6,0,0,0
fluent__fluentd-4030,fluent/fluentd,Ruby,1248,0,1,0,2,3,21,6,.rb,1,1,39,1,4,0,0,0
fluent__fluentd-4311,fluent/fluentd,Ruby,1292,0,1,5114,1,1,1,1,.rb,1,2,2,3,0,0,0,0
fluent__fluentd-4598,fluent/fluentd,Ruby,1702,0,1,0,1,1,1,1,.rb,1,2,12,1,1,0,0,0
fluent__fluentd-4655,fluent/fluentd,Ruby,1181,0,0,616,1,3,5,0,.rb,1,1,23,1,2,0,0,0
fmtlib__fmt-1683,fmtlib/fmt,C++,850,0,0,153,1,1,4,1,.h,1,1,4,1,42,1,0,1
fmtlib__fmt-2310,fmtlib/fmt,C++,544,0,1,0,2,2,6,2,.h,1,2,13,2,102,1,0,1
fmtlib__fmt-2317,fmtlib/fmt,C++,607,0,1,0,1,2,8,7,.h,1,1,2,1,103,1,0,1
fmtlib__fmt-2457,fmtlib/fmt,C++,754,0,1,243,1,1,34,20,.h,1,1,13,1,18,1,0,1
fmtlib__fmt-3158,fmtlib/fmt,C++,4171,0,1,6105,1,2,3,2,.h,1,1,8,1,24,1,0,1
fmtlib__fmt-3248,fmtlib/fmt,C++,380,0,1,0,1,1,3,1,.h,1,2,11,2,115,1,0,1
fmtlib__fmt-3272,fmtlib/fmt,C++,966,0,1,0,1,1,1,1,.h,1,1,3,1,34,1,0,1
fmtlib__fmt-3729,fmtlib/fmt,C++,684,0,1,41,1,2,13,2,.h,1,1,7,1,12,1,0,1
fmtlib__fmt-3750,fmtlib/fmt,C++,314,0,1,1110,1,2,53,16,.h,1,1,8,1,119,1,0,1
fmtlib__fmt-3863,fmtlib/fmt,C++,464,0,0,57,1,3,56,6,.h,1,1,5,1,33,1,0,1
fmtlib__fmt-3901,fmtlib/fmt,C++,274,0,1,158,1,1,4,3,.h,1,1,3,1,122,1,0,1
gin-gonic__gin-1805,gin-gonic/gin,Go,613,0,1,72,1,1,1,1,.go,1,2,21,1,13,0,0,1
gin-gonic__gin-1957,gin-gonic/gin,Go,644,0,1,0,4,6,83,0,.go .md,2,3,69,2,13,0,0,1
gin-gonic__gin-2121,gin-gonic/gin,Go,2222,0,1,0,1,1,3,0,.go,2,2,40,2,1,0,0,1
gin-gonic__gin-2755,gin-gonic/gin,Go,1892,1,1,180,1,1,1,1,.go,1,1,13,1,13,0,0,1
gin-gonic__gin-3227,gin-gonic/gin,Go,1575,0,1,2,1,3,8,1,.go,1,1,20,1,0,0,0,1
gin-gonic__gin-3741,gin-gonic/gin,Go,453,0,0,0,1,1,2,0,.go,1,1,1,1,1,0,0,1
gin-gonic__gin-3820,gin-gonic/gin,Go,2767,0,1,453,1,2,3,0,.go,1,2,2,1,16,0,0,1
gin-gonic__gin-4003,gin-gonic/gin,Go,1245,1,1,177,1,1,1,1,.go,1,1,11,1,0,0,0,1
gohugoio__hugo-12171,gohugoio/hugo,Go,2281,0,1,0,1,1,16,19,.go,1,1,30,1,12,0,0,1
gohugoio__hugo-12204,gohugoio/hugo,Go,897,0,1,0,1,1,1,1,.html,1,2,30,1,1,0,0,1
gohugoio__hugo-12343,gohugoio/hugo,Go,550,0,1,0,1,1,7,0,.go,1,1,55,1,23,0,0,1
gohugoio__hugo-12448,gohugoio/hugo,Go,1630,0,1,537,1,3,12,2,.go,2,2,37,1,34,0,0,1
gohugoio__hugo-12562,gohugoio/hugo,Go,1351,0,1,0,1,1,2,2,.go,1,1,33,1,6,0,0,1
gohugoio__hugo-12579,gohugoio/hugo,Go,954,0,1,6,1,1,1,1,.go,2,5,12,1,23,0,0,1
gohugoio__hugo-12768,gohugoio/hugo,Go,937,0,1,477,1,1,2,1,.go,1,2,8,1,2,0,0,1
google__gson-1014,google/gson,Java,976,1,1,0,1,1,6,2,.java,1,1,50,2,0,0,0,1
google__gson-1093,google/gson,Java,912,0,1,120,1,1,2,2,.java,1,2,26,1,4,0,0,1
google__gson-1100,google/gson,Java,1447,1,0,0,1,2,7,2,.java,1,1,14,1,2,0,0,1
google__gson-2024,google/gson,Java,931,0,1,154,1,5,23,5,.java,3,4,27,3,0,0,0,1
google__gson-2061,google/gson,Java,169,0,0,1330,2,2,2,2,.java,2,2,14,2,4,0,0,1
google__gson-2134,google/gson,Java,1723,0,1,0,1,2,7,2,.java,1,2,31,2,1,0,0,1
google__gson-2158,google/gson,Java,1144,0,1,0,2,8,38,8,.java,1,3,60,6,4,0,0,1
google__gson-2311,google/gson,Java,1544,0,1,27,1,2,8,3,.java,1,1,2,1,2,0,0,1
google__gson-2479,google/gson,Java,1258,0,0,2599,2,7,22,1,.java .md,2,3,37,2,1,0,0,1
hashicorp__terraform-34580,hashicorp/terraform,Go,806,0,1,586,1,1,1,0,.go,5,5,126,3,16,0,0,1
hashicorp__terraform-34814,hashicorp/terraform,Go,2405,0,1,1600,1,1,8,1,.go,1,1,7,1,16,0,0,1
hashicorp__terraform-34900,hashicorp/terraform,Go,3809,0,1,932,3,11,26,57,.go,3,3,144,2,15,0,0,1
hashicorp__terraform-35543,hashicorp/terraform,Go,917,0,1,255,8,17,247,130,.go,2,31,138,6,29,0,0,1
hashicorp__terraform-35611,hashicorp/terraform,Go,4840,0,1,23,1,3,22,21,.go,2,2,3,1,20,0,0,1
immutable-js__immutable-js-2005,immutable-js/immutable-js,TypeScript,1971,0,1,0,2,3,6,2,.js .md,2,2,16,2,20,0,0,0
immutable-js__immutable-js-2006,immutable-js/immutable-js,TypeScript,754,0,1,323,1,1,5,5,.js,1,1,11,1,22,0,0,0
javaparser__javaparser-4538,javaparser/javaparser,Java,932,1,1,0,1,3,100,42,.java,1,2,86,1,1,0,0,1
javaparser__javaparser-4561,javaparser/javaparser,Java,3369,0,1,29,1,4,18,4,.java,1,1,57,1,1,0,0,1
jekyll__jekyll-8047,jekyll/jekyll,Ruby,1170,0,1,0,1,1,7,3,.rb,1,1,17,1,11,0,0,0
jekyll__jekyll-8167,jekyll/jekyll,Ruby,1581,0,0,1293,1,1,2,2,.rb,1,1,5,1,19,0,0,0
jekyll__jekyll-8761,jekyll/jekyll,Ruby,2357,0,1,1470,3,3,17,0,.feature .rb,1,1,1,1,1,0,0,0
jekyll__jekyll-8771,jekyll/jekyll,Ruby,1217,0,0,2163,7,10,219,5,.feature .rb,4,4,96,1,1,0,0,0
jekyll__jekyll-9141,jekyll/jekyll,Ruby,2017,0,1,688,1,1,4,0,.rb,1,1,9,1,4,0,0,0
jordansissel__fpm-1829,jordansissel/fpm,Ruby,595,0,0,2130,1,3,43,0,.rb,1,1,50,6,41,0,0,0
jordansissel__fpm-1850,jordansissel/fpm,Ruby,417,0,1,0,1,1,12,0,.rb,1,1,11,1,2,0,0,0
jqlang__jq-2235,jqlang/jq,C,410,0,0,713,1,1,1,1,.c,1,1,6,1,27,0,0,1
jqlang__jq-2598,jqlang/jq,C,891,0,1,0,3,123,369,379,.c .y .yml,1,1,7,1,27,0,0,1
jqlang__jq-2650,jqlang/jq,C,2541,0,1,1739,2,110,814,780,.c .y,1,1,5,1,27,0,0,1
jqlang__jq-2658,jqlang/jq,C,609,0,1,0,1,2,12,2,.c,1,1,13,1,27,0,0,1
jqlang__jq-2681,jqlang/jq,C,322,0,1,440,6,71,1561,1617,.c .h .l .y,1,1,22,1,27,1,0,1
jqlang__jq-2728,jqlang/jq,C,640,0,0,873,1,1,5,0,.c,1,1,24,1,28,0,0,1
jqlang__jq-2750,jqlang/jq,C,770,0,1,0,6,19,413,368,.c .h .y,1,1,55,1,28,1,0,1
jqlang__jq-2839,jqlang/jq,C,4415,1,1,2486,1,1,1,1,.c,1,1,17,1,27,0,0,1
jqlang__jq-2919,jqlang/jq,C,1447,0,1,1729,3,4,7,25,.c .prebuilt .yml,1,1,10,1,28,0,0,1
laravel__framework-46234,laravel/framework,PHP,870,0,1,3734,1,1,1,1,.php,1,1,26,1,44,0,0,0
laravel__framework-48573,laravel/framework,PHP,1531,0,1,1614,1,3,5,5,.php,2,3,43,1,23,0,0,0
laravel__framework-48636,laravel/framework,PHP,1346,0,1,398,1,1,1,0,.php,1,3,150,2,166,0,0,0
laravel__framework-51195,laravel/framework,PHP,864,0,1,3545,1,1,2,2,.php,1,1,15,1,6,0,0,0
laravel__framework-51890,laravel/framework,PHP,741,0,1,5146,1,1,5,3,.php,1,1,14,1,8,0,0,0
laravel__framework-52451,laravel/framework,PHP,2819,0,1,398,1,1,2,2,.php,1,1,16,1,18,0,0,0
laravel__framework-52680,laravel/framework,PHP,1731,0,1,1358,1,1,1,1,.php,1,2,26,1,19,0,0,0
laravel__framework-52684,laravel/framework,PHP,1600,0,1,354,1,3,9,3,.php,1,3,30,3,148,0,0,0
laravel__framework-52866,laravel/framework,PHP,2128,0,1,0,1,1,4,0,.php,1,3,48,1,14,0,0,0
laravel__framework-53206,laravel/framework,PHP,953,0,1,0,2,3,5,6,.php,2,2,3,1,6,0,0,0
laravel__framework-53696,laravel/framework,PHP,1708,0,1,460,1,1,1,1,.php,5,12,94,1,32,0,0,0
laravel__framework-53914,laravel/framework,PHP,3701,0,1,701,1,4,31,9,.php,1,2,38,1,7,0,0,0
laravel__framework-53949,laravel/framework,PHP,792,0,1,2502,1,1,4,4,.php,1,1,20,1,19,0,0,0
micropython__micropython-10095,micropython/micropython,C,701,1,1,498,1,2,7,1,.c,1,1,10,1,22,0,0,1
micropython__micropython-12158,micropython/micropython,C,1663,0,1,619,8,18,51,14,.c .h,1,2,7,1,18,1,0,1
micropython__micropython-13039,micropython/micropython,C,3563,1,1,0,1,1,1,1,.c,1,1,5,1,13,0,0,1
micropython__micropython-13569,micropython/micropython,C,677,1,1,466,1,2,11,0,.c,1,1,10,1,27,0,0,1
micropython__micropython-15898,micropython/micropython,C,605,0,1,0,1,1,1,1,.c,1,1,15,1,13,0,0,1
mrdoob__three.js-25687,mrdoob/three.js,JavaScript,1334,0,1,0,2,2,3,0,.js,1,2,7,1,2,0,0,0
mrdoob__three.js-26589,mrdoob/three.js,JavaScript,1064,0,0,0,3,3,3,3,.js,3,6,54,3,13,0,0,0
mrdoob__three.js-27395,mrdoob/three.js,JavaScript,403,0,1,0,5,5,18,0,.html .js,1,1,10,1,18,0,0,0
nlohmann__json-4237,nlohmann/json,C++,2904,0,1,0,2,2,4,2,.hpp,1,9,20,1,21,1,0,1
nushell__nushell-12901,nushell/nushell,Rust,2373,0,1,0,1,2,4,0,.rs,1,1,9,1,20,0,0,1
nushell__nushell-12950,nushell/nushell,Rust,1875,0,1,866,1,2,14,1,.rs,1,1,7,1,1,0,0,1
nushell__nushell-13246,nushell/nushell,Rust,497,0,1,0,1,2,6,5,.rs,1,1,10,1,14,0,0,1
nushell__nushell-13605,nushell/nushell,Rust,2409,0,1,53,1,4,20,2,.rs,1,1,25,1,50,0,0,1
nushell__nushell-13831,nushell/nushell,Rust,3128,0,1,0,1,7,46,5,.rs,1,1,13,1,0,0,0,1
php-cs-fixer__php-cs-fixer-7523,php-cs-fixer/php-cs-fixer,PHP,504,0,1,0,1,1,2,1,.php,2,2,18,1,236,0,0,0
php-cs-fixer__php-cs-fixer-7635,php-cs-fixer/php-cs-fixer,PHP,654,0,1,6797,1,7,7,7,.php,1,1,37,1,80,0,0,0
php-cs-fixer__php-cs-fixer-7663,php-cs-fixer/php-cs-fixer,PHP,545,0,1,623,1,7,103,7,.php,1,1,142,8,68,0,0,0
php-cs-fixer__php-cs-fixer-7875,php-cs-fixer/php-cs-fixer,PHP,1511,0,1,0,1,8,57,34,.php,1,2,269,14,78,0,0,0
php-cs-fixer__php-cs-fixer-7998,php-cs-fixer/php-cs-fixer,PHP,791,0,1,0,1,2,4,2,.php,1,1,45,1,68,0,0,0
php-cs-fixer__php-cs-fixer-8064,php-cs-fixer/php-cs-fixer,PHP,2126,0,1,0,2,3,13,22,.php,2,2,15,1,17,0,0,0
php-cs-fixer__php-cs-fixer-8075,php-cs-fixer/php-cs-fixer,PHP,1130,0,1,85,2,3,7,2,.neon .php,1,1,19,1,71,0,0,0
php-cs-fixer__php-cs-fixer-8256,php-cs-fixer/php-cs-fixer,PHP,1087,0,1,417,1,1,8,4,.php,1,1,16,1,25,0,0,0
php-cs-fixer__php-cs-fixer-8331,php-cs-fixer/php-cs-fixer,PHP,1633,0,1,0,1,1,3,2,.php,1,1,15,1,22,0,0,0
php-cs-fixer__php-cs-fixer-8367,php-cs-fixer/php-cs-fixer,PHP,1990,0,1,0,1,1,2,0,.php,1,1,15,1,150,0,0,0
phpoffice__phpspreadsheet-3463,phpoffice/phpspreadsheet,PHP,1706,0,1,0,2,2,2,1,.md .php,1,1,5,1,12,0,0,0
phpoffice__phpspreadsheet-3469,phpoffice/phpspreadsheet,PHP,4452,0,1,0,2,4,13,2,.md .php,2,4,39,2,7,0,0,0
phpoffice__phpspreadsheet-3570,phpoffice/phpspreadsheet,PHP,1490,0,1,1065,2,2,2,2,.php,4,6,50,1,18,0,0,0
phpoffice__phpspreadsheet-3659,phpoffice/phpspreadsheet,PHP,2440,0,1,0,4,10,61,3,.php,2,2,113,2,0,0,0,0
phpoffice__phpspreadsheet-3903,phpoffice/phpspreadsheet,PHP,2577,0,1,61,1,1,1,1,.php,1,2,22,1,10,0,0,0
phpoffice__phpspreadsheet-3940,phpoffice/phpspreadsheet,PHP,1619,0,1,4673,2,4,16,12,.md .php,1,2,40,1,58,0,0,0
phpoffice__phpspreadsheet-4114,phpoffice/phpspreadsheet,PHP,896,0,1,322,3,3,7,2,.md .php,2,3,72,2,3,0,0,0
phpoffice__phpspreadsheet-4186,phpoffice/phpspreadsheet,PHP,866,0,1,0,2,2,1,1,.md .php,1,1,1,1,14,0,0,0
phpoffice__phpspreadsheet-4214,phpoffice/phpspreadsheet,PHP,1355,0,1,288,3,7,27,60,.md .php,2,2,5,2,40,0,0,0
phpoffice__phpspreadsheet-4313,phpoffice/phpspreadsheet,PHP,2068,0,1,635,2,5,23,5,.md .php,2,2,87,4,10,0,0,0
preactjs__preact-2757,preactjs/preact,JavaScript,1056,0,1,486,1,1,5,1,.js,1,1,7,1,62,0,0,0
preactjs__preact-2896,preactjs/preact,JavaScript,1757,0,1,0,1,1,5,1,.js,2,3,63,1,8,0,0,0
preactjs__preact-2927,preactjs/preact,JavaScript,491,0,1,0,1,1,1,0,.js,1,1,15,1,63,0,0,0
preactjs__preact-3010,preactjs/preact,JavaScript,424,0,1,0,2,2,7,1,.js .ts,1,1,11,1,65,0,0,0
preactjs__preact-3062,preactjs/preact,JavaScript,1011,0,1,0,1,1,3,0,.js,1,1,17,1,66,0,0,0
preactjs__preact-3345,preactjs/preact,JavaScript,2528,0,1,644,1,2,14,6,.js,1,1,70,1,16,0,0,0
preactjs__preact-3454,preactjs/preact,JavaScript,1498,0,1,0,1,1,1,1,.js,1,1,9,1,10,0,0,0
preactjs__preact-3562,preactjs/preact,JavaScript,1926,0,1,0,1,1,9,0,.js,1,1,23,1,31,0,0,0
preactjs__preact-3567,preactjs/preact,JavaScript,1343,0,1,0,2,6,30,5,.js .ts,3,4,167,1,20,0,0,0
preactjs__preact-3689,preactjs/preact,JavaScript,165,0,0,0,3,6,8,7,.js .ts,1,1,19,1,3,0,0,0
preactjs__preact-3739,preactjs/preact,JavaScript,8774,0,1,1081,1,1,1,1,.js,2,2,26,1,12,0,0,0
preactjs__preact-3763,preactjs/preact,JavaScript,1517,0,1,0,1,5,17,6,.js,2,5,34,1,1,0,0,0
preactjs__preact-4152,preactjs/preact,JavaScript,1016,0,1,783,1,1,1,1,.js,1,1,12,1,75,0,0,0
preactjs__preact-4182,preactjs/preact,JavaScript,2751,0,1,0,1,1,3,0,.js,1,2,79,1,5,0,0,0
preactjs__preact-4245,preactjs/preact,JavaScript,1765,0,1,912,1,2,9,0,.js,1,1,23,1,12,0,0,0
preactjs__preact-4316,preactjs/preact,JavaScript,1206,0,1,827,1,1,6,1,.js,1,1,8,1,10,0,0,0
preactjs__preact-4436,preactjs/preact,JavaScript,902,0,1,0,2,2,19,4,.js .ts,1,1,32,2,24,0,0,0
projectlombok__lombok-2792,projectlombok/lombok,Java,2521,0,1,0,1,1,1,1,.java,3,6,31,1,300,0,0,1
projectlombok__lombok-3009,projectlombok/lombok,Java,756,0,1,0,2,2,4,0,.java,3,3,20,1,322,0,0,1
projectlombok__lombok-3042,projectlombok/lombok,Java,2701,1,1,44,2,2,7,4,.java,10,16,169,1,301,0,0,1
projectlombok__lombok-3052,projectlombok/lombok,Java,1450,0,1,516,2,4,14,7,.java,6,6,391,2,302,0,0,1
projectlombok__lombok-3215,projectlombok/lombok,Java,723,0,1,1633,2,3,37,4,.java,3,3,93,1,311,0,0,1
projectlombok__lombok-3312,projectlombok/lombok,Java,965,0,1,0,1,1,2,1,.java,3,3,45,1,8,0,0,1
projectlombok__lombok-3326,projectlombok/lombok,Java,7463,0,1,0,2,2,6,2,.java,3,3,60,1,4,0,0,1
projectlombok__lombok-3350,projectlombok/lombok,Java,1263,0,1,1052,4,7,8,4,.html .java,5,5,133,1,2,0,0,1
projectlombok__lombok-3371,projectlombok/lombok,Java,1334,0,1,235,2,7,41,52,.java,15,14,69,1,2,0,0,1
projectlombok__lombok-3422,projectlombok/lombok,Java,1463,0,1,0,1,2,3,0,.java,8,7,52,1,1,0,0,1
projectlombok__lombok-3479,projectlombok/lombok,Java,852,0,1,0,2,2,14,4,.java,3,3,46,1,2,0,0,1
projectlombok__lombok-3486,projectlombok/lombok,Java,198,0,0,513,6,9,30,19,.java,3,3,250,1,328,0,0,1
