"label","metric","toy","real","spec","agentic","ratio"
"PageRank","DSB coverage (%)",94.695,96.9237,92.50665,70.90965,1.02353556153968
"PageRank","L1D-load MPKI",1.93455,2.60256,6.709175,4.272555,1.34530510971544
"PageRank","L2-load MPKI",0.690302,1.12883,0.6927285,0.4964215,1.63526978047289
"PageRank","LLC MPKI",0.386699,0.798679,0.10011615,0.182375,2.06537642972958
"PageRank","DRAM read (GB/s)",5.71719,11.0654,1.68268,1.0530545,1.93546130179336
"PageRank","Context switches (/CPU-s)",227.444,74.1877,4.544515,1011.8565,0.326180070698722
"Naive Bayes","IPC",3.27234,1.39707,2.41271,1.904025,0.426933020407415
"Naive Bayes","Branch MPKI",0.422235,1.47274,1.1759245,3.993705,3.48796286428174
"Naive Bayes","Branch-direction MPKI",0.369037,1.4433,1.036316,3.35616,3.91098995493677
"Naive Bayes","BTB MPKI (BAClears)",0.0446065,0.108724,0.01521085,0.6409475,2.43740262069429
"Naive Bayes","L1I MPKI (code-read)",1.57829,2.9187,0.9833755,12.78685,1.84927991687206
"Naive Bayes","uop-cache (DSB) MPKI",9.84225,12.5552,11.10359,39.3253,1.27564327262567
"Naive Bayes","DSB coverage (%)",88.7361,89.6281,92.50665,70.90965,1.0100522786104
"Naive Bayes","L1D-load MPKI",1.06147,26.2738,6.709175,4.272555,24.7522775019548
"Naive Bayes","L2-load MPKI",0.129054,10.4208,0.6927285,0.4964215,80.7475940304059
"Naive Bayes","LLC MPKI",0.0924814,3.94635,0.10011615,0.182375,42.6718237396925
"Naive Bayes","DRAM read (GB/s)",9.94419,26.1214,1.68268,1.0530545,2.62680017175858
"Naive Bayes","Context switches (/CPU-s)",817.338,355.094,4.544515,1011.8565,0.434451842444619
"Video","IPC",2.61859,2.45967,2.41271,1.904025,0.939310850495877
"Video","Branch MPKI",2.27125,1.36702,1.1759245,3.993705,0.601880022014309
"Video","Branch-direction MPKI",2.1979,1.32918,1.036316,3.35616,0.604749988625506
"Video","BTB MPKI (BAClears)",0.0495314,0.0309254,0.01521085,0.6409475,0.624359497207832
"Video","L1I MPKI (code-read)",11.8582,7.59938,0.9833755,12.78685,0.640854429846014
"Video","uop-cache (DSB) MPKI",53.1667,42.6339,11.10359,39.3253,0.801891033297158
"Video","DSB coverage (%)",57.1115,63.6349,92.50665,70.90965,1.11422217942096
"Video","L1D-load MPKI",4.72091,5.40068,6.709175,4.272555,1.14399130676077
"Video","L2-load MPKI",0.166607,0.465729,0.6927285,0.4964215,2.79537474415841
"Video","LLC MPKI",0.0875112,0.404632,0.10011615,0.182375,4.6237738712302
"Video","DRAM read (GB/s)",4.69406,7.95862,1.68268,1.0530545,1.69546618492307
"Video","Context switches (/CPU-s)",319.859,70.9272,4.544515,1011.8565,0.221745206481606
