metric,workload,v,side
DSB coverage (%),SPEC-int #5,34.04242,SPEC
uop-cache (DSB) MPKI,SPEC-int #5,97.39524,SPEC
L1I MPKI (code-read),SPEC-int #5,31.93557,SPEC
L1D-load MPKI,SPEC-int #5,0.23535,SPEC
L2-load MPKI,SPEC-int #5,0.00162,SPEC
LLC MPKI,SPEC-int #5,0.00029,SPEC
L1I stall (% cycles),SPEC-int #5,8.06648,SPEC
L1D miss rate (%),SPEC-int #5,0.08381,SPEC
L2-load miss rate (%),SPEC-int #5,0.71034,SPEC
LLC miss rate (%),SPEC-int #5,22.16896,SPEC
DRAM read (GB/s),SPEC-int #5,0.04054,SPEC
Context switches (/CPU-s),SPEC-int #5,0.0,SPEC
IPC,SPEC-int #6,1.80574,SPEC
Branch MPKI,SPEC-int #6,5.08566,SPEC
Branch-direction MPKI,SPEC-int #6,4.60349,SPEC
BTB MPKI (BAClears),SPEC-int #6,0.39731,SPEC
DSB coverage (%),SPEC-int #6,69.39906,SPEC
uop-cache (DSB) MPKI,SPEC-int #6,47.97804,SPEC
L1I MPKI (code-read),SPEC-int #6,16.63312,SPEC
L1D-load MPKI,SPEC-int #6,5.58509,SPEC
L2-load MPKI,SPEC-int #6,0.3419,SPEC
LLC MPKI,SPEC-int #6,0.069,SPEC
L1I stall (% cycles),SPEC-int #6,5.40395,SPEC
L1D miss rate (%),SPEC-int #6,2.0848,SPEC
L2-load miss rate (%),SPEC-int #6,5.96079,SPEC
LLC miss rate (%),SPEC-int #6,21.18552,SPEC
DRAM read (GB/s),SPEC-int #6,0.49124,SPEC
Context switches (/CPU-s),SPEC-int #6,9.80448,SPEC
IPC,SPEC-fp #2,3.70501,SPEC
Branch MPKI,SPEC-fp #2,0.07493,SPEC
Branch-direction MPKI,SPEC-fp #2,0.06924,SPEC
BTB MPKI (BAClears),SPEC-fp #2,0.00711,SPEC
DSB coverage (%),SPEC-fp #2,56.70233,SPEC
uop-cache (DSB) MPKI,SPEC-fp #2,42.74011,SPEC
L1I MPKI (code-read),SPEC-fp #2,11.55164,SPEC
L1D-load MPKI,SPEC-fp #2,10.49499,SPEC
L2-load MPKI,SPEC-fp #2,0.10765,SPEC
LLC MPKI,SPEC-fp #2,0.04308,SPEC
L1I stall (% cycles),SPEC-fp #2,5.17061,SPEC
L1D miss rate (%),SPEC-fp #2,2.65404,SPEC
L2-load miss rate (%),SPEC-fp #2,1.01946,SPEC
LLC miss rate (%),SPEC-fp #2,39.86452,SPEC
DRAM read (GB/s),SPEC-fp #2,3.15304,SPEC
Context switches (/CPU-s),SPEC-fp #2,0.0,SPEC
IPC,SPEC-int #7,1.63517,SPEC
Branch MPKI,SPEC-int #7,6.30727,SPEC
Branch-direction MPKI,SPEC-int #7,5.85632,SPEC
BTB MPKI (BAClears),SPEC-int #7,1.63552,SPEC
DSB coverage (%),SPEC-int #7,59.92527,SPEC
uop-cache (DSB) MPKI,SPEC-int #7,75.86231,SPEC
L1I MPKI (code-read),SPEC-int #7,25.1118,SPEC
L1D-load MPKI,SPEC-int #7,4.04134,SPEC
L2-load MPKI,SPEC-int #7,0.31579,SPEC
LLC MPKI,SPEC-int #7,0.06375,SPEC
L1I stall (% cycles),SPEC-int #7,8.89152,SPEC
L1D miss rate (%),SPEC-int #7,1.59615,SPEC
L2-load miss rate (%),SPEC-int #7,8.86559,SPEC
LLC miss rate (%),SPEC-int #7,23.27886,SPEC
DRAM read (GB/s),SPEC-int #7,0.49416,SPEC
Context switches (/CPU-s),SPEC-int #7,9.8561,SPEC
IPC,SPEC-int #8,3.07167,SPEC
Branch MPKI,SPEC-int #8,0.23484,SPEC
Branch-direction MPKI,SPEC-int #8,0.22927,SPEC
BTB MPKI (BAClears),SPEC-int #8,0.00329,SPEC
DSB coverage (%),SPEC-int #8,99.55161,SPEC
uop-cache (DSB) MPKI,SPEC-int #8,0.66063,SPEC
L1I MPKI (code-read),SPEC-int #8,0.12875,SPEC
L1D-load MPKI,SPEC-int #8,2.64967,SPEC
L2-load MPKI,SPEC-int #8,0.4533,SPEC
LLC MPKI,SPEC-int #8,0.10039,SPEC
L1I stall (% cycles),SPEC-int #8,0.47748,SPEC
L1D miss rate (%),SPEC-int #8,1.27586,SPEC
L2-load miss rate (%),SPEC-int #8,17.89834,SPEC
LLC miss rate (%),SPEC-int #8,25.67454,SPEC
DRAM read (GB/s),SPEC-int #8,3.57289,SPEC
Context switches (/CPU-s),SPEC-int #8,0.0,SPEC
IPC,SPEC-int #9,1.44559,SPEC
Branch MPKI,SPEC-int #9,11.80665,SPEC
Branch-direction MPKI,SPEC-int #9,11.84357,SPEC
BTB MPKI (BAClears),SPEC-int #9,0.02886,SPEC
DSB coverage (%),SPEC-int #9,99.55923,SPEC
uop-cache (DSB) MPKI,SPEC-int #9,0.81043,SPEC
L1I MPKI (code-read),SPEC-int #9,0.1357,SPEC
L1D-load MPKI,SPEC-int #9,13.3527,SPEC
L2-load MPKI,SPEC-int #9,0.91594,SPEC
LLC MPKI,SPEC-int #9,0.00369,SPEC
L1I stall (% cycles),SPEC-int #9,0.19574,SPEC
L1D miss rate (%),SPEC-int #9,5.19137,SPEC
L2-load miss rate (%),SPEC-int #9,6.86266,SPEC
LLC miss rate (%),SPEC-int #9,0.40887,SPEC
DRAM read (GB/s),SPEC-int #9,1.76557,SPEC
Context switches (/CPU-s),SPEC-int #9,4.93583,SPEC
IPC,SPEC-fp #3,2.70586,SPEC
Branch MPKI,SPEC-fp #3,4.41837,SPEC
Branch-direction MPKI,SPEC-fp #3,4.46436,SPEC
BTB MPKI (BAClears),SPEC-fp #3,0.01594,SPEC
DSB coverage (%),SPEC-fp #3,96.22811,SPEC
uop-cache (DSB) MPKI,SPEC-fp #3,4.74957,SPEC
L1I MPKI (code-read),SPEC-fp #3,0.26064,SPEC
L1D-load MPKI,SPEC-fp #3,1.91228,SPEC
L2-load MPKI,SPEC-fp #3,0.0325,SPEC
LLC MPKI,SPEC-fp #3,0.00031,SPEC
L1I stall (% cycles),SPEC-fp #3,0.24194,SPEC
L1D miss rate (%),SPEC-fp #3,0.58301,SPEC
L2-load miss rate (%),SPEC-fp #3,1.69436,SPEC
LLC miss rate (%),SPEC-fp #3,1.55934,SPEC
DRAM read (GB/s),SPEC-fp #3,0.28649,SPEC
Context switches (/CPU-s),SPEC-fp #3,0.0,SPEC
IPC,SPEC-int #10,1.5158,SPEC
Branch MPKI,SPEC-int #10,4.67245,SPEC
Branch-direction MPKI,SPEC-int #10,4.82275,SPEC
BTB MPKI (BAClears),SPEC-int #10,0.0051,SPEC
DSB coverage (%),SPEC-int #10,96.75965,SPEC
uop-cache (DSB) MPKI,SPEC-int #10,6.07099,SPEC
L1I MPKI (code-read),SPEC-int #10,0.49249,SPEC
L1D-load MPKI,SPEC-int #10,12.16441,SPEC
L2-load MPKI,SPEC-int #10,2.69913,SPEC
LLC MPKI,SPEC-int #10,0.00324,SPEC
L1I stall (% cycles),SPEC-int #10,0.63393,SPEC
L1D miss rate (%),SPEC-int #10,3.26055,SPEC
L2-load miss rate (%),SPEC-int #10,22.04552,SPEC
LLC miss rate (%),SPEC-int #10,7.26476,SPEC
DRAM read (GB/s),SPEC-int #10,3.00533,SPEC
Context switches (/CPU-s),SPEC-int #10,0.0,SPEC
IPC,SPEC-int #11,2.71898,SPEC
Branch MPKI,SPEC-int #11,0.70571,SPEC
Branch-direction MPKI,SPEC-int #11,0.68061,SPEC
BTB MPKI (BAClears),SPEC-int #11,0.05579,SPEC
DSB coverage (%),SPEC-int #11,27.93206,SPEC
uop-cache (DSB) MPKI,SPEC-int #11,120.2947,SPEC
L1I MPKI (code-read),SPEC-int #11,39.90568,SPEC
L1D-load MPKI,SPEC-int #11,19.30093,SPEC
L2-load MPKI,SPEC-int #11,0.00104,SPEC
LLC MPKI,SPEC-int #11,4e-05,SPEC
L1I stall (% cycles),SPEC-int #11,8.12943,SPEC
L1D miss rate (%),SPEC-int #11,6.15794,SPEC
L2-load miss rate (%),SPEC-int #11,0.00539,SPEC
LLC miss rate (%),SPEC-int #11,4.02622,SPEC
DRAM read (GB/s),SPEC-int #11,0.00931,SPEC
Context switches (/CPU-s),SPEC-int #11,0.0,SPEC
IPC,SPEC-fp #4,1.72563,SPEC
Branch MPKI,SPEC-fp #4,0.05044,SPEC
Branch-direction MPKI,SPEC-fp #4,0.06229,SPEC
BTB MPKI (BAClears),SPEC-fp #4,0.11884,SPEC
DSB coverage (%),SPEC-fp #4,91.18229,SPEC
uop-cache (DSB) MPKI,SPEC-fp #4,15.30349,SPEC
L1I MPKI (code-read),SPEC-fp #4,1.66298,SPEC
L1D-load MPKI,SPEC-fp #4,3.80114,SPEC
L2-load MPKI,SPEC-fp #4,0.1003,SPEC
LLC MPKI,SPEC-fp #4,0.05053,SPEC
L1I stall (% cycles),SPEC-fp #4,0.62805,SPEC
L1D miss rate (%),SPEC-fp #4,1.15207,SPEC
L2-load miss rate (%),SPEC-fp #4,2.39037,SPEC
LLC miss rate (%),SPEC-fp #4,51.91907,SPEC
DRAM read (GB/s),SPEC-fp #4,2.73491,SPEC
Context switches (/CPU-s),SPEC-fp #4,0.0,SPEC
IPC,SPEC-fp #5,1.44408,SPEC
Branch MPKI,SPEC-fp #5,6.81551,SPEC
Branch-direction MPKI,SPEC-fp #5,1.66423,SPEC
BTB MPKI (BAClears),SPEC-fp #5,0.0114,SPEC
DSB coverage (%),SPEC-fp #5,96.92319,SPEC
uop-cache (DSB) MPKI,SPEC-fp #5,6.04134,SPEC
L1I MPKI (code-read),SPEC-fp #5,0.3399,SPEC
L1D-load MPKI,SPEC-fp #5,8.2793,SPEC
L2-load MPKI,SPEC-fp #5,0.71817,SPEC
LLC MPKI,SPEC-fp #5,0.00964,SPEC
L1I stall (% cycles),SPEC-fp #5,0.26177,SPEC
L1D miss rate (%),SPEC-fp #5,2.28928,SPEC
L2-load miss rate (%),SPEC-fp #5,5.80896,SPEC
LLC miss rate (%),SPEC-fp #5,25.89353,SPEC
DRAM read (GB/s),SPEC-fp #5,0.57258,SPEC
Context switches (/CPU-s),SPEC-fp #5,0.0,SPEC
IPC,SPEC-fp #6,3.15877,SPEC
Branch MPKI,SPEC-fp #6,0.05099,SPEC
Branch-direction MPKI,SPEC-fp #6,0.05012,SPEC
BTB MPKI (BAClears),SPEC-fp #6,0.01504,SPEC
DSB coverage (%),SPEC-fp #6,44.06428,SPEC
uop-cache (DSB) MPKI,SPEC-fp #6,80.37372,SPEC
L1I MPKI (code-read),SPEC-fp #6,22.01355,SPEC
L1D-load MPKI,SPEC-fp #6,13.04467,SPEC
L2-load MPKI,SPEC-fp #6,0.00076,SPEC
LLC MPKI,SPEC-fp #6,2e-05,SPEC
L1I stall (% cycles),SPEC-fp #6,3.4542,SPEC
L1D miss rate (%),SPEC-fp #6,4.68588,SPEC
L2-load miss rate (%),SPEC-fp #6,0.0058,SPEC
DRAM read (GB/s),SPEC-fp #6,0.00181,SPEC
Context switches (/CPU-s),SPEC-fp #6,0.0,SPEC
IPC,SPEC-fp #7,0.71902,SPEC
Branch MPKI,SPEC-fp #7,0.02451,SPEC
Branch-direction MPKI,SPEC-fp #7,0.01967,SPEC
BTB MPKI (BAClears),SPEC-fp #7,0.00231,SPEC
DSB coverage (%),SPEC-fp #7,93.95675,SPEC
uop-cache (DSB) MPKI,SPEC-fp #7,5.07344,SPEC
L1I MPKI (code-read),SPEC-fp #7,0.14754,SPEC
L1D-load MPKI,SPEC-fp #7,45.76331,SPEC
L2-load MPKI,SPEC-fp #7,18.79417,SPEC
LLC MPKI,SPEC-fp #7,17.94153,SPEC
L1I stall (% cycles),SPEC-fp #7,0.15021,SPEC
L1D miss rate (%),SPEC-fp #7,14.87321,SPEC
L2-load miss rate (%),SPEC-fp #7,42.0605,SPEC
LLC miss rate (%),SPEC-fp #6,91.95635,SPEC
DRAM read (GB/s),SPEC-fp #7,11.54628,SPEC
Context switches (/CPU-s),SPEC-fp #7,0.0,SPEC
IPC,SPEC-int #12,4.15447,SPEC
Branch MPKI,SPEC-int #12,0.16105,SPEC
Branch-direction MPKI,SPEC-int #12,0.15408,SPEC
BTB MPKI (BAClears),SPEC-int #12,0.00071,SPEC
DSB coverage (%),SPEC-int #12,93.95696,SPEC
uop-cache (DSB) MPKI,SPEC-int #12,4.25237,SPEC
L1I MPKI (code-read),SPEC-int #12,0.039,SPEC
L1D-load MPKI,SPEC-int #12,0.62654,SPEC
L2-load MPKI,SPEC-int #12,0.00801,SPEC
LLC MPKI,SPEC-int #12,0.00034,SPEC
L1I stall (% cycles),SPEC-int #12,0.14729,SPEC
L1D miss rate (%),SPEC-int #12,0.52184,SPEC
L2-load miss rate (%),SPEC-int #12,1.27583,SPEC
LLC miss rate (%),SPEC-int #12,4.28165,SPEC
DRAM read (GB/s),SPEC-int #12,0.76437,SPEC
Context switches (/CPU-s),SPEC-int #12,9.80488,SPEC
IPC,SPEC-int #13,2.68161,SPEC
Branch MPKI,SPEC-int #13,2.18064,SPEC
Branch-direction MPKI,SPEC-int #13,1.35473,SPEC
BTB MPKI (BAClears),SPEC-int #13,0.28712,SPEC
DSB coverage (%),SPEC-int #13,68.79083,SPEC
uop-cache (DSB) MPKI,SPEC-int #13,43.16731,SPEC
L1I MPKI (code-read),SPEC-int #13,12.74776,SPEC
L1D-load MPKI,SPEC-int #13,4.45253,SPEC
L2-load MPKI,SPEC-int #13,0.04145,SPEC
LLC MPKI,SPEC-int #13,0.00211,SPEC
L1I stall (% cycles),SPEC-int #13,6.37061,SPEC
L1D miss rate (%),SPEC-int #13,1.77283,SPEC
L2-load miss rate (%),SPEC-int #13,0.94572,SPEC
LLC miss rate (%),SPEC-int #13,4.4921,SPEC
DRAM read (GB/s),SPEC-int #13,0.08729,SPEC
Context switches (/CPU-s),SPEC-int #13,0.0,SPEC
IPC,SPEC-fp #8,1.19078,SPEC
Branch MPKI,SPEC-fp #8,0.03718,SPEC
Branch-direction MPKI,SPEC-fp #8,0.03583,SPEC
BTB MPKI (BAClears),SPEC-fp #8,0.00342,SPEC
DSB coverage (%),SPEC-fp #8,99.08909,SPEC
uop-cache (DSB) MPKI,SPEC-fp #8,0.97334,SPEC
L1I MPKI (code-read),SPEC-fp #8,0.1191,SPEC
L1D-load MPKI,SPEC-fp #8,29.78247,SPEC
L2-load MPKI,SPEC-fp #8,8.32558,SPEC
LLC MPKI,SPEC-fp #8,4.53974,SPEC
L1I stall (% cycles),SPEC-fp #8,0.26194,SPEC
L1D miss rate (%),SPEC-fp #8,9.3579,SPEC
L2-load miss rate (%),SPEC-fp #8,26.96555,SPEC
LLC miss rate (%),SPEC-fp #7,55.65434,SPEC
DRAM read (GB/s),SPEC-fp #8,12.14915,SPEC
Context switches (/CPU-s),SPEC-fp #8,0.0,SPEC
IPC,SPEC-fp #9,2.79524,SPEC
Branch MPKI,SPEC-fp #9,0.05759,SPEC
Branch-direction MPKI,SPEC-fp #9,0.05279,SPEC
BTB MPKI (BAClears),SPEC-fp #9,0.00638,SPEC
DSB coverage (%),SPEC-fp #9,70.94114,SPEC
uop-cache (DSB) MPKI,SPEC-fp #9,30.01886,SPEC
L1I MPKI (code-read),SPEC-fp #9,1.19832,SPEC
L1D-load MPKI,SPEC-fp #9,9.43707,SPEC
L2-load MPKI,SPEC-fp #9,1.04799,SPEC
LLC MPKI,SPEC-fp #9,0.17952,SPEC
L1I stall (% cycles),SPEC-fp #9,0.63996,SPEC
L1D miss rate (%),SPEC-fp #9,3.20404,SPEC
L2-load miss rate (%),SPEC-fp #9,10.60864,SPEC
LLC miss rate (%),SPEC-fp #8,18.62486,SPEC
DRAM read (GB/s),SPEC-fp #9,2.46521,SPEC
Context switches (/CPU-s),SPEC-fp #9,0.0,SPEC
IPC,SPEC-fp #10,1.75963,SPEC
Branch MPKI,SPEC-fp #10,1.14733,SPEC
Branch-direction MPKI,SPEC-fp #10,1.178,SPEC
BTB MPKI (BAClears),SPEC-fp #10,0.00107,SPEC
DSB coverage (%),SPEC-fp #10,99.81155,SPEC
uop-cache (DSB) MPKI,SPEC-fp #10,0.25648,SPEC
L1I MPKI (code-read),SPEC-fp #10,0.07668,SPEC
L1D-load MPKI,SPEC-fp #10,7.97928,SPEC
L2-load MPKI,SPEC-fp #10,5.26997,SPEC
LLC MPKI,SPEC-fp #10,0.29899,SPEC
L1I stall (% cycles),SPEC-fp #10,0.14066,SPEC
L1D miss rate (%),SPEC-fp #10,2.52302,SPEC
L2-load miss rate (%),SPEC-fp #10,66.70153,SPEC
LLC miss rate (%),SPEC-fp #9,5.57188,SPEC
DRAM read (GB/s),SPEC-fp #10,4.17155,SPEC
Context switches (/CPU-s),SPEC-fp #10,0.0,SPEC
IPC,SPEC-fp #11,2.38109,SPEC
Branch MPKI,SPEC-fp #11,0.08217,SPEC
Branch-direction MPKI,SPEC-fp #11,0.08846,SPEC
BTB MPKI (BAClears),SPEC-fp #11,0.00998,SPEC
DSB coverage (%),SPEC-fp #11,99.18493,SPEC
uop-cache (DSB) MPKI,SPEC-fp #11,1.002,SPEC
L1I MPKI (code-read),SPEC-fp #11,0.06807,SPEC
L1D-load MPKI,SPEC-fp #11,39.94725,SPEC
L2-load MPKI,SPEC-fp #11,0.12158,SPEC
LLC MPKI,SPEC-fp #11,0.06269,SPEC
L1I stall (% cycles),SPEC-fp #11,0.13808,SPEC
L1D miss rate (%),SPEC-fp #11,14.56471,SPEC
L2-load miss rate (%),SPEC-fp #11,11.98148,SPEC
LLC miss rate (%),SPEC-fp #10,8.13172,SPEC
DRAM read (GB/s),SPEC-fp #11,10.49072,SPEC
Context switches (/CPU-s),SPEC-fp #11,9.80831,SPEC
IPC,SPEC-int #14,2.65992,SPEC
Branch MPKI,SPEC-int #14,3.37205,SPEC
Branch-direction MPKI,SPEC-int #14,3.19868,SPEC
BTB MPKI (BAClears),SPEC-int #14,0.00301,SPEC
DSB coverage (%),SPEC-int #14,99.01166,SPEC
uop-cache (DSB) MPKI,SPEC-int #14,1.22213,SPEC
L1I MPKI (code-read),SPEC-int #14,0.11668,SPEC
L1D-load MPKI,SPEC-int #14,16.63799,SPEC
L2-load MPKI,SPEC-int #14,0.63451,SPEC
LLC MPKI,SPEC-int #14,0.01515,SPEC
L1I stall (% cycles),SPEC-int #14,0.34518,SPEC
L1D miss rate (%),SPEC-int #14,5.56789,SPEC
L2-load miss rate (%),SPEC-int #14,3.63706,SPEC
LLC miss rate (%),SPEC-int #14,2.34658,SPEC
DRAM read (GB/s),SPEC-int #14,1.00296,SPEC
Context switches (/CPU-s),SPEC-int #14,0.0,SPEC
IPC,SPEC-fp #12,2.79822,SPEC
Branch MPKI,SPEC-fp #12,0.01911,SPEC
Branch-direction MPKI,SPEC-fp #12,0.01916,SPEC
BTB MPKI (BAClears),SPEC-fp #12,0.00041,SPEC
DSB coverage (%),SPEC-fp #12,99.73756,SPEC
uop-cache (DSB) MPKI,SPEC-fp #12,0.24339,SPEC
L1I MPKI (code-read),SPEC-fp #12,0.03106,SPEC
L1D-load MPKI,SPEC-fp #12,0.52809,SPEC
L2-load MPKI,SPEC-fp #12,0.0286,SPEC
LLC MPKI,SPEC-fp #12,0.014,SPEC
L1I stall (% cycles),SPEC-fp #12,0.27084,SPEC
L1D miss rate (%),SPEC-fp #12,0.34238,SPEC
L2-load miss rate (%),SPEC-fp #12,5.30834,SPEC
LLC miss rate (%),SPEC-fp #11,48.96232,SPEC
DRAM read (GB/s),SPEC-fp #12,4.17152,SPEC
Context switches (/CPU-s),SPEC-fp #12,0.0,SPEC
BTB MPKI (BAClears),axios-5892,1.6329500000000001,Agentic
BTB MPKI (BAClears),axum-1730,0.6207,Agentic
BTB MPKI (BAClears),babel-15649,1.34455,Agentic
BTB MPKI (BAClears),bat-2835,0.4115,Agentic
BTB MPKI (BAClears),caddy-4774,0.1944,Agentic
BTB MPKI (BAClears),carbon-2752,0.6369,Agentic
BTB MPKI (BAClears),core-11870,1.4683,Agentic
BTB MPKI (BAClears),docusaurus-10130,1.1957499999999999,Agentic
BTB MPKI (BAClears),docusaurus-9897,1.20225,Agentic
BTB MPKI (BAClears),fastlane-20958,0.4054,Agentic
BTB MPKI (BAClears),fluentd-3328,0.9493,Agentic
BTB MPKI (BAClears),fmt-2457,0.57625,Agentic
BTB MPKI (BAClears),fmt-3750,0.61355,Agentic
BTB MPKI (BAClears),fmt-3901,0.65875,Agentic
BTB MPKI (BAClears),framework-52684,1.0202,Agentic
BTB MPKI (BAClears),gin-2121,1.22805,Agentic
BTB MPKI (BAClears),gson-1093,1.028,Agentic
BTB MPKI (BAClears),gson-2134,0.94165,Agentic
BTB MPKI (BAClears),hugo-12579,0.8942,Agentic
BTB MPKI (BAClears),immutable-js-2006,0.9031,Agentic
BTB MPKI (BAClears),javaparser-4538,0.6991,Agentic
BTB MPKI (BAClears),jekyll-8167,0.5022,Agentic
BTB MPKI (BAClears),jq-2598,0.8752,Agentic
BTB MPKI (BAClears),json-4237,0.3635,Agentic
BTB MPKI (BAClears),lombok-3479,0.5923,Agentic
BTB MPKI (BAClears),micropython-13039,1.1159,Agentic
BTB MPKI (BAClears),nushell-13831,0.50955,Agentic
BTB MPKI (BAClears),php-cs-fixer-8064,0.746,Agentic
BTB MPKI (BAClears),phpspreadsheet-3463,0.6917,Agentic
BTB MPKI (BAClears),preact-3763,1.4027,Agentic
BTB MPKI (BAClears),prometheus-10720,0.3936,Agentic
BTB MPKI (BAClears),redis-10068,0.76625,Agentic
BTB MPKI (BAClears),redis-12272,1.0747,Agentic
BTB MPKI (BAClears),ripgrep-2209,0.7829,Agentic
BTB MPKI (BAClears),rubocop-13560,0.4126,Agentic
BTB MPKI (BAClears),three.js-26589,0.8955,Agentic
Branch MPKI,axios-5892,6.14465,Agentic
Branch MPKI,axum-1730,3.87535,Agentic
Branch MPKI,babel-15649,4.8755500000000005,Agentic
Branch MPKI,bat-2835,2.3655,Agentic
Branch MPKI,caddy-4774,1.999,Agentic
Branch MPKI,carbon-2752,3.2818,Agentic
Branch MPKI,core-11870,4.989,Agentic
Branch MPKI,docusaurus-10130,5.18125,Agentic
Branch MPKI,docusaurus-9897,4.9077,Agentic
Branch MPKI,fastlane-20958,2.7466,Agentic
Branch MPKI,fluentd-3328,4.5822,Agentic
Branch MPKI,fmt-2457,4.2618,Agentic
Branch MPKI,fmt-3750,4.6914,Agentic
Branch MPKI,fmt-3901,5.00375,Agentic
Branch MPKI,framework-52684,4.5516000000000005,Agentic
Branch MPKI,gin-2121,4.2479,Agentic
Branch MPKI,gson-1093,5.4919,Agentic
Branch MPKI,gson-2134,5.611000000000001,Agentic
Branch MPKI,hugo-12579,3.8537,Agentic
Branch MPKI,immutable-js-2006,4.2899,Agentic
Branch MPKI,javaparser-4538,4.6954,Agentic
Branch MPKI,jekyll-8167,3.4227,Agentic
