"metric","column","language","med","mean","n"
"Branch MPKI","carbon-2752","PHP",3.2818,4.08041904761905,378
"Branch MPKI","jekyll-8167","Ruby",3.4227,3.94586743002545,393
"Branch MPKI","fluentd-3328","Ruby",4.5822,5.36310130353818,1074
"Branch MPKI","rubocop-13560","Ruby",3.3499,3.65150428051002,1098
"Branch MPKI","fastlane-20958","Ruby",2.7466,3.68139803439803,407
"Branch MPKI","preact-3763","JavaScript",4.8519,4.88068256410256,390
"Branch MPKI","babel-15649","JavaScript",4.87555,4.74915678571429,280
"Branch MPKI","axios-5892","JavaScript",6.14465,6.4840125,464
"Branch MPKI","three.js-26589","JavaScript",4.31295,4.35756698113208,530
"Branch MPKI","core-11870","TypeScript",4.989,4.90647034764826,489
"Branch MPKI","docusaurus-9897","TypeScript",4.9077,4.77893618233618,351
"Branch MPKI","immutable-js-2006","TypeScript",4.2899,3.79319248181083,1237
"Branch MPKI","docusaurus-10130","TypeScript",5.18125,4.88492943037975,316
"Branch-direction MPKI","SPEC-int","SPEC-int",2.95975,3.252175,14
"Branch-direction MPKI","SPEC-fp","SPEC-fp",0.05754,0.642389166666667,12
"Branch-direction MPKI","redis-12272","C",2.1531,2.8669390052356,382
"Branch-direction MPKI","micropython-13039","C",3.9973,3.78019509536785,367
"Branch-direction MPKI","redis-10068","C",2.88505,3.22665287356322,696
"Branch-direction MPKI","jq-2598","C",3.974,4.09851074197121,903
"Branch-direction MPKI","json-4237","C++",2.4656,2.39696844234659,1483
"Branch-direction MPKI","fmt-3750","C++",4.41015,4.08627461928934,1182
"Branch-direction MPKI","fmt-3901","C++",4.605,4.3415033557047,596
"Branch-direction MPKI","fmt-2457","C++",3.91,3.80775643431635,2238
"Branch-direction MPKI","bat-2835","Rust",2.1039,2.81599218642906,1459
"Branch-direction MPKI","ripgrep-2209","Rust",2.78795,3.28254198606272,574
"Branch-direction MPKI","nushell-13831","Rust",3.08745,3.47452713607595,1264
"Branch-direction MPKI","axum-1730","Rust",3.1144,3.31858486352357,1209
"Branch-direction MPKI","gin-2121","Go",3.022,3.68750592105263,152
"Branch-direction MPKI","caddy-4774","Go",1.9039,2.27288158772515,1499
"Branch-direction MPKI","prometheus-10720","Go",2.3026,2.80450751802266,971
"Branch-direction MPKI","hugo-12579","Go",3.5806,3.76810013908206,719
"Branch-direction MPKI","gson-1093","Java",4.0249,3.97770714285714,266
"Branch-direction MPKI","gson-2134","Java",4.22925,4.17278125,272
"Branch-direction MPKI","javaparser-4538","Java",3.6774,3.85600336842105,475
"Branch-direction MPKI","lombok-3479","Java",3.6133,3.46624070647603,1189
"Branch-direction MPKI","framework-52684","PHP",3.95425,4.20373163265306,196
"Branch-direction MPKI","phpspreadsheet-3463","PHP",3.0686,3.48168,350
"Branch-direction MPKI","php-cs-fixer-8064","PHP",3.3963,3.23577608966376,803
"Branch-direction MPKI","carbon-2752","PHP",2.33,2.85357642276423,369
"Branch-direction MPKI","jekyll-8167","Ruby",2.7241,2.98805372750643,389
"Branch-direction MPKI","fluentd-3328","Ruby",3.5328,4.03648725023787,1051
"Branch-direction MPKI","rubocop-13560","Ruby",2.799,2.94594003707136,1079
"Branch-direction MPKI","fastlane-20958","Ruby",2.2653,2.94030099255583,403
"Branch-direction MPKI","preact-3763","JavaScript",4.4128,4.16437900262467,381
"Branch-direction MPKI","babel-15649","JavaScript",4.15495,3.8879641221374,262
"Branch-direction MPKI","axios-5892","JavaScript",5.0411,5.344759375,448
"Branch-direction MPKI","three.js-26589","JavaScript",3.6604,3.47932723809524,525
"Branch-direction MPKI","core-11870","TypeScript",4.3037,4.01808432989691,485
"Branch-direction MPKI","docusaurus-9897","TypeScript",4.28925,3.82765201149425,348
"Branch-direction MPKI","immutable-js-2006","TypeScript",3.6564,3.18827689795918,1225
"Branch-direction MPKI","docusaurus-10130","TypeScript",4.49825,3.90333621794872,312
"Context switches (/CPU-s)","SPEC-int","SPEC-int",0,2.457235,14
"Context switches (/CPU-s)","SPEC-fp","SPEC-fp",0,1.63299333333333,12
"Context switches (/CPU-s)","redis-12272","C",704.8872,7673.60705156951,223
"Context switches (/CPU-s)","micropython-13039","C",732.0752,1009.48301328125,256
"Context switches (/CPU-s)","redis-10068","C",158.7148,3807.87041682243,642
"Context switches (/CPU-s)","jq-2598","C",255.3275,649.141434646582,863
"Context switches (/CPU-s)","json-4237","C++",9.828,330.491904479669,1451
"Context switches (/CPU-s)","fmt-3750","C++",9.8203,212.698714759825,1145
"Context switches (/CPU-s)","fmt-3901","C++",9.8097,165.273205199307,577
"Context switches (/CPU-s)","fmt-2457","C++",9.8299,218.070991891892,2183
"Context switches (/CPU-s)","bat-2835","Rust",176.11115,513.618727661064,1428
"Context switches (/CPU-s)","ripgrep-2209","Rust",366.3749,735.336449155722,533
"Context switches (/CPU-s)","nushell-13831","Rust",36.281,300.496979806919,1243
"Context switches (/CPU-s)","axum-1730","Rust",80.848,325.575254903604,1193
"Context switches (/CPU-s)","gin-2121","Go",1715.6863,3424.13707652174,115
"Context switches (/CPU-s)","caddy-4774","Go",366.2365,1818.25969506358,1337
"Context switches (/CPU-s)","prometheus-10720","Go",815.1907,1816.66704572127,818
"Context switches (/CPU-s)","hugo-12579","Go",1997.3238,3025.01425288889,675
"Context switches (/CPU-s)","gson-1093","Java",992.5558,1276.12690813397,209
"Context switches (/CPU-s)","gson-2134","Java",1125.58915,1536.28491238938,226
"Context switches (/CPU-s)","javaparser-4538","Java",581.7108,928.855827098321,417
"Context switches (/CPU-s)","lombok-3479","Java",444.9798,794.036161494253,1044
"Context switches (/CPU-s)","framework-52684","PHP",727.83445,1003.86858529412,136
"Context switches (/CPU-s)","phpspreadsheet-3463","PHP",947.08065,1540.571885,260
"Context switches (/CPU-s)","php-cs-fixer-8064","PHP",555.5556,581.394551603053,655
"Context switches (/CPU-s)","carbon-2752","PHP",543.3046,1002.54637677903,267
"Context switches (/CPU-s)","jekyll-8167","Ruby",250.2681,806.871588705234,363
"Context switches (/CPU-s)","fluentd-3328","Ruby",209.32845,580.094244272446,646
"Context switches (/CPU-s)","rubocop-13560","Ruby",29.432,337.304992560386,1035
"Context switches (/CPU-s)","fastlane-20958","Ruby",240.05775,783.422392820513,390
"Context switches (/CPU-s)","preact-3763","JavaScript",871.55025,1986.3139359116,362
"Context switches (/CPU-s)","babel-15649","JavaScript",637.1681,1509.9753058296,223
"Context switches (/CPU-s)","axios-5892","JavaScript",723.08865,1351.74938967742,310
"Context switches (/CPU-s)","three.js-26589","JavaScript",436.47635,595.595474261603,474
"Context switches (/CPU-s)","core-11870","TypeScript",928.7926,2168.16532505447,459
"Context switches (/CPU-s)","docusaurus-9897","TypeScript",683.4591,1436.89889668874,302
"Context switches (/CPU-s)","immutable-js-2006","TypeScript",652.84385,857.016383305228,1186
"Context switches (/CPU-s)","docusaurus-10130","TypeScript",620.0177,1488.14677844523,283
"DRAM read (GB/s)","SPEC-int","SPEC-int",0.629265,1.21641142857143,14
"DRAM read (GB/s)","SPEC-fp","SPEC-fp",2.943975,4.41757166666667,12
"DRAM read (GB/s)","redis-12272","C",0.16745,0.762222543352601,346
"DRAM read (GB/s)","micropython-13039","C",0.2602,0.364164264264264,333
"DRAM read (GB/s)","redis-10068","C",0.2573,0.312666854724965,709
"DRAM read (GB/s)","jq-2598","C",0.3808,0.577674755168662,919
"DRAM read (GB/s)","json-4237","C++",0.4634,1.65830931470393,1503
"DRAM read (GB/s)","fmt-3750","C++",0.5422,1.49189724310777,1197
"DRAM read (GB/s)","fmt-3901","C++",1.2398,2.0174479338843,605
"DRAM read (GB/s)","fmt-2457","C++",0.4489,0.829979153812252,2269
"DRAM read (GB/s)","bat-2835","Rust",0.81625,1.67975431848853,1482
"DRAM read (GB/s)","ripgrep-2209","Rust",0.45005,1.23057886597938,582
"DRAM read (GB/s)","nushell-13831","Rust",1.22005,2.47851521394612,1262
"DRAM read (GB/s)","axum-1730","Rust",1.104,3.21505965909091,1232
"DRAM read (GB/s)","gin-2121","Go",0.1968,1.16726451612903,155
"DRAM read (GB/s)","caddy-4774","Go",1.42345,2.1438626984127,1512
"DRAM read (GB/s)","prometheus-10720","Go",0.6809,2.02716416243655,985
"DRAM read (GB/s)","hugo-12579","Go",2.2367,2.66545910987483,719
"DRAM read (GB/s)","gson-1093","Java",0.30255,0.93777276119403,268
"DRAM read (GB/s)","gson-2134","Java",1.16535,1.68168550724638,276
"DRAM read (GB/s)","javaparser-4538","Java",3.1282,3.27101351351351,481
"DRAM read (GB/s)","lombok-3479","Java",0.9977,1.8337738512949,1197
"DRAM read (GB/s)","framework-52684","PHP",0.12105,0.268648484848485,198
"DRAM read (GB/s)","phpspreadsheet-3463","PHP",0.2282,0.666733147632312,359
"DRAM read (GB/s)","php-cs-fixer-8064","PHP",0.70745,0.736890441176471,816
"DRAM read (GB/s)","carbon-2752","PHP",0.2158,0.383323450134771,371
"DRAM read (GB/s)","jekyll-8167","Ruby",0.4436,0.67859262086514,393
"DRAM read (GB/s)","fluentd-3328","Ruby",0.28145,0.568774264705882,952
"DRAM read (GB/s)","rubocop-13560","Ruby",0.6845,0.814563661202186,1098
"DRAM read (GB/s)","fastlane-20958","Ruby",0.557,0.714132029339853,409
"DRAM read (GB/s)","preact-3763","JavaScript",0.75845,0.986399740932642,386
"DRAM read (GB/s)","babel-15649","JavaScript",0.27865,0.658392424242424,264
"DRAM read (GB/s)","axios-5892","JavaScript",0.2384,0.361315317286652,457
"DRAM read (GB/s)","three.js-26589","JavaScript",0.3282,0.478727683615819,531
"DRAM read (GB/s)","core-11870","TypeScript",0.8893,1.34228716904277,491
"DRAM read (GB/s)","docusaurus-9897","TypeScript",0.3029,0.594334375,352
"DRAM read (GB/s)","immutable-js-2006","TypeScript",0.94845,1.97400921474359,1248
"DRAM read (GB/s)","docusaurus-10130","TypeScript",0.3658,0.516570031545741,317
"DSB coverage (%)","SPEC-int","SPEC-int",81.62023,74.4098321428571,14
"DSB coverage (%)","SPEC-fp","SPEC-fp",95.09243,78.985945,12
"DSB coverage (%)","redis-12272","C",70.488,66.8814214705882,340
"DSB coverage (%)","micropython-13039","C",60.7783,59.2200770034843,287
"DSB coverage (%)","redis-10068","C",67.31405,64.6862569014085,710
"DSB coverage (%)","jq-2598","C",68.6004,68.5089867403315,905
"DSB coverage (%)","json-4237","C++",70.20795,68.0003223045822,1484
"DSB coverage (%)","fmt-3750","C++",71.8276,68.2498049915398,1182
"DSB coverage (%)","fmt-3901","C++",69.3582,66.4730916247906,597
"DSB coverage (%)","fmt-2457","C++",72.062,68.4707427358069,2237
"DSB coverage (%)","bat-2835","Rust",70.70295,69.9509840163934,1464
"DSB coverage (%)","ripgrep-2209","Rust",61.76885,65.1895926829268,574
"DSB coverage (%)","nushell-13831","Rust",59.2994,60.8365598879103,1249
"DSB coverage (%)","axum-1730","Rust",55.46875,56.5522179867987,1212
"DSB coverage (%)","gin-2121","Go",62.5059,60.7500116883117,154
"DSB coverage (%)","caddy-4774","Go",81.4134,76.9082947227789,1497
"DSB coverage (%)","prometheus-10720","Go",77.4751,72.1232122807018,969
"DSB coverage (%)","hugo-12579","Go",72.62,71.0090467787115,714
"DSB coverage (%)","gson-1093","Java",66.18315,64.0808394736842,266
"DSB coverage (%)","gson-2134","Java",76.7718,69.5679593406593,273
"DSB coverage (%)","javaparser-4538","Java",79.2921,72.1333201257862,477
"DSB coverage (%)","lombok-3479","Java",78.3112,73.1290836717428,1182
"DSB coverage (%)","framework-52684","PHP",58.9811,59.9656059701493,201
"DSB coverage (%)","phpspreadsheet-3463","PHP",62.83485,61.3715051724138,348
"DSB coverage (%)","php-cs-fixer-8064","PHP",72.2874,68.0308752487562,804
"DSB coverage (%)","carbon-2752","PHP",64.806,61.5583089189189,370
"DSB coverage (%)","jekyll-8167","Ruby",63.2276,63.5454455012854,389
"DSB coverage (%)","fluentd-3328","Ruby",62.2002,61.408608127572,972
"DSB coverage (%)","rubocop-13560","Ruby",67.22775,69.9843057407407,1080
"DSB coverage (%)","fastlane-20958","Ruby",63.81765,64.8130569306931,404
"DSB coverage (%)","preact-3763","JavaScript",65.6851,65.142741038961,385
"DSB coverage (%)","babel-15649","JavaScript",61.2432,60.5136590038314,261
"DSB coverage (%)","axios-5892","JavaScript",60.2495,59.0181483660131,459
"DSB coverage (%)","three.js-26589","JavaScript",65.6754,67.1969891428571,525
"DSB coverage (%)","core-11870","TypeScript",66.06645,66.1159830578512,484
"DSB coverage (%)","docusaurus-9897","TypeScript",60.928,62.9773492836676,349
"DSB coverage (%)","immutable-js-2006","TypeScript",73.8813,73.4700652563059,1229
"DSB coverage (%)","docusaurus-10130","TypeScript",61.9143,62.7737077170418,311
"IPC","SPEC-int","SPEC-int",2.324435,2.41245357142857,14
"IPC","SPEC-fp","SPEC-fp",2.07036,2.16434166666667,12
"IPC","redis-12272","C",1.7589,1.82691156069364,346
"IPC","micropython-13039","C",1.738,1.69772006802721,294
"IPC","redis-10068","C",1.8125,1.92558973333333,750
"IPC","jq-2598","C",1.8374,1.94979956521739,920
"IPC","json-4237","C++",2.02375,2.30021006666667,1500
"IPC","fmt-3750","C++",1.8577,1.89109206349206,1197
"IPC","fmt-3901","C++",1.82815,1.82363625827815,604
"IPC","fmt-2457","C++",1.8059,1.99637964679912,2265
"IPC","bat-2835","Rust",1.761,2.07383917734322,1483
"IPC","ripgrep-2209","Rust",1.64915,1.91465819112628,586
"IPC","nushell-13831","Rust",1.5917,1.67399003921569,1275
"IPC","axum-1730","Rust",1.52135,1.64765916530278,1222
"IPC","gin-2121","Go",1.5838,1.5443108974359,156
"IPC","caddy-4774","Go",2.0084,2.11463298013245,1510
"IPC","prometheus-10720","Go",1.7829,1.9850156504065,984
"IPC","hugo-12579","Go",1.7793,1.79950983606557,732
"IPC","gson-1093","Java",1.6352,1.64967955390335,269
"IPC","gson-2134","Java",1.707,1.62330108695652,276
"IPC","javaparser-4538","Java",1.7902,1.75396597938144,485
"IPC","lombok-3479","Java",1.7969,1.90143138075314,1195
"IPC","framework-52684","PHP",1.511,1.623641,200
"IPC","phpspreadsheet-3463","PHP",1.5053,1.64500965909091,352
"IPC","php-cs-fixer-8064","PHP",1.7361,1.84455584255843,813
"IPC","carbon-2752","PHP",1.93595,1.89518068783069,378
"IPC","jekyll-8167","Ruby",1.9816,1.92805852417303,393
"IPC","fluentd-3328","Ruby",1.32965,1.57240232774674,1074
"IPC","rubocop-13560","Ruby",1.91635,2.00885628415301,1098
"IPC","fastlane-20958","Ruby",1.972,1.8983828009828,407
"IPC","preact-3763","JavaScript",1.66665,1.67304512820513,390
"IPC","babel-15649","JavaScript",1.6328,1.70107107142857,280
"IPC","axios-5892","JavaScript",1.4449,1.49801422413793,464
"IPC","three.js-26589","JavaScript",1.7389,2.00428094339623,530
"IPC","core-11870","TypeScript",1.6074,1.70362126789366,489
"IPC","docusaurus-9897","TypeScript",1.5739,1.76706153846154,351
"IPC","immutable-js-2006","TypeScript",1.767,1.94667849636217,1237
"IPC","docusaurus-10130","TypeScript",1.5937,1.76027563291139,316
"L1D miss rate (%)","SPEC-int","SPEC-int",1.72378,2.46367142857143,14
"L1D miss rate (%)","SPEC-fp","SPEC-fp",2.92904,6.32611,12
"L1D miss rate (%)","redis-12272","C",1.703,1.92673673469388,343
"L1D miss rate (%)","micropython-13039","C",1.7511,2.09055958188153,287
"L1D miss rate (%)","redis-10068","C",1.9683,3.97231474452555,685
"L1D miss rate (%)","jq-2598","C",1.6669,1.93492483443709,906
"L1D miss rate (%)","json-4237","C++",1.48415,1.52209022911051,1484
"L1D miss rate (%)","fmt-3750","C++",2.666,2.72349525825572,1181
"L1D miss rate (%)","fmt-3901","C++",2.644,2.74726582914573,597
"L1D miss rate (%)","fmt-2457","C++",2.293,2.59580862377122,2238
"L1D miss rate (%)","bat-2835","Rust",1.53145,2.04918098495212,1462
"L1D miss rate (%)","ripgrep-2209","Rust",1.9992,2.03509808027923,573
"L1D miss rate (%)","nushell-13831","Rust",2.3969,2.21811846882399,1267
"L1D miss rate (%)","axum-1730","Rust",2.3647,2.25203616845582,1211
"L1D miss rate (%)","gin-2121","Go",1.5343,1.84747631578947,152
"L1D miss rate (%)","caddy-4774","Go",1.1345,1.79498134576949,1501
"L1D miss rate (%)","prometheus-10720","Go",1.3338,2.05329651639344,976
"L1D miss rate (%)","hugo-12579","Go",1.3018,1.4829399445215,721
"L1D miss rate (%)","gson-1093","Java",1.9953,2.06256323529412,272
"L1D miss rate (%)","gson-2134","Java",2.1605,2.2366336996337,273
"L1D miss rate (%)","javaparser-4538","Java",2.7892,2.6462320754717,477
"L1D miss rate (%)","lombok-3479","Java",2.3226,2.44159441624365,1182
"L1D miss rate (%)","framework-52684","PHP",1.8929,1.94113282828283,198
"L1D miss rate (%)","phpspreadsheet-3463","PHP",2.0506,2.36824813753582,349
"L1D miss rate (%)","php-cs-fixer-8064","PHP",2.6079,2.30397118012422,805
"L1D miss rate (%)","carbon-2752","PHP",2.0919,2.25069756756757,370
"L1D miss rate (%)","jekyll-8167","Ruby",1.5381,1.96660664961637,391
"L1D miss rate (%)","fluentd-3328","Ruby",2.3259,2.49310836501901,1052
"L1D miss rate (%)","rubocop-13560","Ruby",1.6669,2.24473465804067,1082
"L1D miss rate (%)","fastlane-20958","Ruby",1.52445,1.83336212871287,404
"L1D miss rate (%)","preact-3763","JavaScript",1.89535,2.0396921875,384
"L1D miss rate (%)","babel-15649","JavaScript",1.8803,2.13730574712644,261
"L1D miss rate (%)","axios-5892","JavaScript",2.1988,2.53794523809524,462
"L1D miss rate (%)","three.js-26589","JavaScript",1.6976,1.99944847908745,526
"L1D miss rate (%)","core-11870","TypeScript",1.5583,1.96993305954825,487
"L1D miss rate (%)","docusaurus-9897","TypeScript",1.7715,2.02156446991404,349
"L1D miss rate (%)","immutable-js-2006","TypeScript",1.3616,1.52615570032573,1228
"L1D miss rate (%)","docusaurus-10130","TypeScript",1.7209,1.96536293929712,313
"L1D-load MPKI","SPEC-int","SPEC-int",4.7968,7.16221928571429,14
"L1D-load MPKI","SPEC-fp","SPEC-fp",9.96603,24.9095241666667,12
"L1D-load MPKI","redis-12272","C",4.2154,4.78233294460641,343
"L1D-load MPKI","micropython-13039","C",4.5717,5.37422996515679,287
"L1D-load MPKI","redis-10068","C",5.0697,10.0066967883212,685
"L1D-load MPKI","jq-2598","C",4.36555,4.97563178807947,906
"L1D-load MPKI","json-4237","C++",3.93815,3.86736051212938,1484
"L1D-load MPKI","fmt-3750","C++",7.0688,7.16595419136325,1181
"L1D-load MPKI","fmt-3901","C++",6.9985,7.27512345058626,597
"L1D-load MPKI","fmt-2457","C++",5.97115,6.66510697050938,2238
"L1D-load MPKI","bat-2835","Rust",3.8719,5.10128673050616,1462
"L1D-load MPKI","ripgrep-2209","Rust",4.9431,5.08720261780105,573
"L1D-load MPKI","nushell-13831","Rust",5.9438,5.53017119179163,1267
"L1D-load MPKI","axum-1730","Rust",5.9164,5.64266507018993,1211
"L1D-load MPKI","gin-2121","Go",3.911,4.79336644736842,152
"L1D-load MPKI","caddy-4774","Go",2.6738,4.41309506995336,1501
"L1D-load MPKI","prometheus-10720","Go",3.2652,5.24444282786885,976
"L1D-load MPKI","hugo-12579","Go",3.2537,3.71726366158114,721
"L1D-load MPKI","gson-1093","Java",5.66445,5.47465,272
"L1D-load MPKI","gson-2134","Java",6.4288,6.37277032967033,273
"L1D-load MPKI","javaparser-4538","Java",8.0862,7.58520167714885,477
"L1D-load MPKI","lombok-3479","Java",6.48965,6.6599899323181,1182
"L1D-load MPKI","framework-52684","PHP",4.583,4.88324343434343,198
"L1D-load MPKI","phpspreadsheet-3463","PHP",5.4492,6.29212636103152,349
"L1D-load MPKI","php-cs-fixer-8064","PHP",6.7316,5.87073689440994,805
"L1D-load MPKI","carbon-2752","PHP",5.4958,5.81036432432432,370
"L1D-load MPKI","jekyll-8167","Ruby",3.968,5.10493938618926,391
"L1D-load MPKI","fluentd-3328","Ruby",6.0136,6.34145009505703,1052
"L1D-load MPKI","rubocop-13560","Ruby",4.4069,5.82517088724584,1082
"L1D-load MPKI","fastlane-20958","Ruby",3.9622,4.64673688118812,404
"L1D-load MPKI","preact-3763","JavaScript",4.90665,5.35732161458333,384
"L1D-load MPKI","babel-15649","JavaScript",4.9936,5.58564367816092,261
"L1D-load MPKI","axios-5892","JavaScript",5.80245,6.69437251082251,462
"L1D-load MPKI","three.js-26589","JavaScript",4.3527,5.00084923954373,526
"L1D-load MPKI","core-11870","TypeScript",4.2446,5.20077926078029,487
"L1D-load MPKI","docusaurus-9897","TypeScript",4.7714,5.20490429799427,349
"L1D-load MPKI","immutable-js-2006","TypeScript",3.74755,4.05672280130293,1228
"L1D-load MPKI","docusaurus-10130","TypeScript",4.6546,5.06172428115016,313
"L1I MPKI (code-read)","SPEC-int","SPEC-int",3.866245,10.4522314285714,14
"L1I MPKI (code-read)","SPEC-fp","SPEC-fp",0.30027,12.0200316666667,12
"L1I MPKI (code-read)","redis-12272","C",14.6282,19.8333520467836,342
"L1I MPKI (code-read)","micropython-13039","C",19.0819,24.6885415335463,313
"L1I MPKI (code-read)","redis-10068","C",15.3577,17.6313910688141,683
"L1I MPKI (code-read)","jq-2598","C",14.2883,15.3888173480663,905
"L1I MPKI (code-read)","json-4237","C++",11.1276,14.2078817139001,1482
"L1I MPKI (code-read)","fmt-3750","C++",12.0786,15.775383149873,1181
"L1I MPKI (code-read)","fmt-3901","C++",13.7533,16.6259365159129,597
"L1I MPKI (code-read)","fmt-2457","C++",12.2006,15.5866815659955,2235
"L1I MPKI (code-read)","bat-2835","Rust",10.45445,13.5303271174863,1464
"L1I MPKI (code-read)","ripgrep-2209","Rust",16.4097,18.4138714535902,571
"L1I MPKI (code-read)","nushell-13831","Rust",15.9528,17.6031586592179,1253
"L1I MPKI (code-read)","axum-1730","Rust",19.9985,21.8267122415219,1209
"L1I MPKI (code-read)","gin-2121","Go",20.3296,25.6141543046358,151
"L1I MPKI (code-read)","caddy-4774","Go",4.652,12.0170320564516,1488
"L1I MPKI (code-read)","prometheus-10720","Go",9.69165,16.1066329896907,970
"L1I MPKI (code-read)","hugo-12579","Go",12.5928,15.6555484593838,714
"L1I MPKI (code-read)","gson-1093","Java",14.64555,22.8002575757576,264
"L1I MPKI (code-read)","gson-2134","Java",12.7858,20.6432025641026,273
"L1I MPKI (code-read)","javaparser-4538","Java",12.294,18.4174263157895,475
"L1I MPKI (code-read)","lombok-3479","Java",10.98145,16.126280964467,1182
"L1I MPKI (code-read)","framework-52684","PHP",19.3844,26.1395955,200
"L1I MPKI (code-read)","phpspreadsheet-3463","PHP",20.8295,24.7838111428571,350
"L1I MPKI (code-read)","php-cs-fixer-8064","PHP",13.55405,19.1530291770574,802
"L1I MPKI (code-read)","carbon-2752","PHP",17.7103,23.7894973045822,371
