"fence","metric","side","n","median","mean","p5","p95","max"
"harness","L2-load MPKI","SPEC",26,0.33444,1.87350115384615,0.001185,7.5616775,18.79417
"harness","L2-load MPKI","Agentic",32,1.0177,1.1502640625,0.435915,2.38436,2.7753
"harness","L2-load miss rate (%)","SPEC",26,5.884875,12.70854,0.181935,41.49159,66.70153
"harness","L2-load miss rate (%)","Agentic",32,19.9777,20.63309375,17.011035,25.42353,26.4402
"harness","LLC MPKI","SPEC",26,0.042905,0.956384615384615,0.0001025,3.5779975,17.94153
"harness","LLC MPKI","Agentic",32,0.4655,0.536765625,0.24512,0.960885,1.0621
"harness","LLC miss rate (%)","SPEC",25,21.18552,24.9874984,1.247836,69.5792839999999,91.95635
"harness","LLC miss rate (%)","Agentic",32,58.112075,57.0584421875,47.07663,68.83174,69.3344
"harness","uop-cache (DSB) MPKI","SPEC",26,9.278945,32.1276007692308,0.3575175,105.29829,120.2947
"harness","uop-cache (DSB) MPKI","Agentic",32,43.571375,43.184528125,18.1804575,72.09682,85.3692
"tool","BTB MPKI (BAClears)","SPEC",26,0.007845,0.104866923076923,0.0007675,0.3697625,1.63552
"tool","BTB MPKI (BAClears)","Agentic",32,1.1403,1.2315203125,0.508275,2.32409,3.1536
"tool","Branch MPKI","SPEC",26,0.847255,2.30900192307692,0.0083025,6.68845,11.80665
"tool","Branch MPKI","Agentic",32,5.722275,5.2747375,3.102355,6.75044,7.26915
"tool","Branch-direction MPKI","SPEC",26,0.824925,2.04765846153846,0.00818,5.8344425,11.84357
"tool","Branch-direction MPKI","Agentic",32,4.449625,4.2330890625,2.592025,5.0491625,5.1873
"tool","Context switches (/CPU-s)","SPEC",26,0,2.07681576923077,0,9.8074525,9.8561
"tool","Context switches (/CPU-s)","Agentic",32,585.26415,679.8713609375,9.818835,2189.7153625,2325.0144
"tool","DRAM read (GB/s)","SPEC",26,1.516585,2.69387,0.015025,11.28239,12.14915
"tool","DRAM read (GB/s)","Agentic",32,0.2758,0.616959375,0.0662425,1.890215,3.1195
"tool","DSB coverage (%)","SPEC",26,93.899075,76.5218842307692,29.45965,99.6929775,99.81155
"tool","DSB coverage (%)","Agentic",32,60.1074,61.4678890625,46.3706625,74.2658025,78.55015
"tool","IPC","SPEC",26,2.18502,2.29794038461538,1.254105,3.6919375,4.15447
"tool","IPC","Agentic",32,1.53715,1.52913125,1.144635,1.797395,1.8952
"tool","L1D miss rate (%)","SPEC",26,2.40615,4.24633538461538,0.387245,14.796085,19.68378
"tool","L1D miss rate (%)","Agentic",32,2.32825,2.2825078125,1.523485,2.802595,2.9498
"tool","L1D-load MPKI","SPEC",26,8.12929,15.3532830769231,0.5527025,44.309295,127.94444
"tool","L1D-load MPKI","Agentic",32,6.18365,6.035025,3.87632,7.648265,8.2892
"tool","L1I MPKI (code-read)","SPEC",26,0.845405,11.1758315384615,0.044095,37.9131525,106.7709
"tool","L1I MPKI (code-read)","Agentic",32,20.969325,21.563715625,13.6695875,31.60886,42.0665
"tool","L1I stall (% cycles)","SPEC",26,0.63099,3.25085153846154,0.138725,8.7009975,27.99014
"tool","L1I stall (% cycles)","Agentic",32,7.240125,7.464175,5.16759,10.685525,13.0224
"tool","L2-load MPKI","SPEC",26,0.33444,1.87350115384615,0.001185,7.5616775,18.79417
"tool","L2-load MPKI","Agentic",32,0.68285,0.7132359375,0.37897,1.140245,1.2586
"tool","L2-load miss rate (%)","SPEC",26,5.884875,12.70854,0.181935,41.49159,66.70153
"tool","L2-load miss rate (%)","Agentic",32,11.3714,11.9122484375,7.902135,16.497175,18.4245
"tool","LLC MPKI","SPEC",26,0.042905,0.956384615384615,0.0001025,3.5779975,17.94153
"tool","LLC MPKI","Agentic",32,0.170425,0.201271875,0.086025,0.394545,0.47165
"tool","LLC miss rate (%)","SPEC",25,21.18552,24.9874984,1.247836,69.5792839999999,91.95635
"tool","LLC miss rate (%)","Agentic",32,29.44195,30.9625046875,17.9933375,43.70529,48.79385
"tool","uop-cache (DSB) MPKI","SPEC",26,9.278945,32.1276007692308,0.3575175,105.29829,120.2947
"tool","uop-cache (DSB) MPKI","Agentic",32,54.5109,55.0518609375,39.251785,78.6638625,83.9844
