family,subgroup,workload,metric,value,windows,runs
spec26,SPEC-int,708.sqlite_r,Context switches (/CPU-s),5.41587,111,1
spec26,SPEC-fp,709.cactus_r,IPC,1.54767,1132,1
spec26,SPEC-fp,709.cactus_r,Branch MPKI,0.00622525,141,1
spec26,SPEC-fp,709.cactus_r,Branch-direction MPKI,0.00670743,141,1
spec26,SPEC-fp,709.cactus_r,BTB MPKI (BAClears),0.0067762,141,1
spec26,SPEC-fp,709.cactus_r,uop-cache (DSB) MPKI,94.6347,141,1
spec26,SPEC-fp,709.cactus_r,DSB coverage (%),13.9186,142,1
spec26,SPEC-fp,709.cactus_r,L1I MPKI (code-read),93.279,142,1
spec26,SPEC-fp,709.cactus_r,L1I stall (% cycles),24.179,142,1
spec26,SPEC-fp,709.cactus_r,L1D-load MPKI,117.9,141,1
spec26,SPEC-fp,709.cactus_r,L2-load MPKI,3.47426,141,1
spec26,SPEC-fp,709.cactus_r,LLC MPKI,1.13799,141,1
spec26,SPEC-fp,709.cactus_r,L1D miss rate (%),18.7128,141,1
spec26,SPEC-fp,709.cactus_r,L2-load miss rate (%),2.94678,141,1
spec26,SPEC-fp,709.cactus_r,LLC miss rate (%),32.755,141,1
spec26,SPEC-fp,709.cactus_r,DRAM read (GB/s),1.69935,142,1
spec26,SPEC-fp,709.cactus_r,Context switches (/CPU-s),5.80029,141,1
spec26,SPEC-int,710.omnetpp_r,IPC,1.88806,323,1
spec26,SPEC-int,710.omnetpp_r,Branch MPKI,2.15611,41,1
spec26,SPEC-int,710.omnetpp_r,Branch-direction MPKI,1.9712,40,1
spec26,SPEC-int,710.omnetpp_r,BTB MPKI (BAClears),0.00828205,40,1
spec26,SPEC-int,710.omnetpp_r,uop-cache (DSB) MPKI,50.7812,40,1
spec26,SPEC-int,710.omnetpp_r,DSB coverage (%),68.8915,41,1
spec26,SPEC-int,710.omnetpp_r,L1I MPKI (code-read),6.10545,40,1
spec26,SPEC-int,710.omnetpp_r,L1I stall (% cycles),2.95201,40,1
spec26,SPEC-int,710.omnetpp_r,L1D-load MPKI,13.7697,40,1
spec26,SPEC-int,710.omnetpp_r,L2-load MPKI,3.28284,40,1
spec26,SPEC-int,710.omnetpp_r,LLC MPKI,0.043176,40,1
spec26,SPEC-int,710.omnetpp_r,L1D miss rate (%),4.40352,40,1
spec26,SPEC-int,710.omnetpp_r,L2-load miss rate (%),23.8411,40,1
spec26,SPEC-int,710.omnetpp_r,LLC miss rate (%),1.3152,40,1
spec26,SPEC-int,710.omnetpp_r,DRAM read (GB/s),2.66996,40,1
spec26,SPEC-int,710.omnetpp_r,Context switches (/CPU-s),2.88554,41,1
spec26,SPEC-int,714.cpython_r,IPC,3.78151,338,1
spec26,SPEC-int,714.cpython_r,Branch MPKI,0.00243422,42,1
spec26,SPEC-int,714.cpython_r,Branch-direction MPKI,0.00122782,42,1
spec26,SPEC-int,714.cpython_r,BTB MPKI (BAClears),0.0696302,42,1
spec26,SPEC-int,714.cpython_r,uop-cache (DSB) MPKI,86.8308,42,1
spec26,SPEC-int,714.cpython_r,DSB coverage (%),44.7944,42,1
spec26,SPEC-int,714.cpython_r,L1I MPKI (code-read),26.9439,42,1
spec26,SPEC-int,714.cpython_r,L1I stall (% cycles),7.02117,42,1
spec26,SPEC-int,714.cpython_r,L1D-load MPKI,0.230389,42,1
spec26,SPEC-int,714.cpython_r,L2-load MPKI,0.00756943,42,1
spec26,SPEC-int,714.cpython_r,LLC MPKI,0.00616189,42,1
spec26,SPEC-int,714.cpython_r,L1D miss rate (%),0.0818913,42,1
spec26,SPEC-int,714.cpython_r,L2-load miss rate (%),3.28551,42,1
spec26,SPEC-int,714.cpython_r,LLC miss rate (%),81.4049,42,1
spec26,SPEC-int,714.cpython_r,DRAM read (GB/s),0.208889,42,1
spec26,SPEC-int,714.cpython_r,Context switches (/CPU-s),4.58775,43,1
spec26,SPEC-int,721.gcc_r,IPC,1.80516,508,1
spec26,SPEC-int,721.gcc_r,Branch MPKI,4.6939,64,1
spec26,SPEC-int,721.gcc_r,Branch-direction MPKI,4.17432,63,1
spec26,SPEC-int,721.gcc_r,BTB MPKI (BAClears),0.798307,63,1
spec26,SPEC-int,721.gcc_r,uop-cache (DSB) MPKI,44.7065,63,1
spec26,SPEC-int,721.gcc_r,DSB coverage (%),70.6976,64,1
spec26,SPEC-int,721.gcc_r,L1I MPKI (code-read),15.092,63,1
spec26,SPEC-int,721.gcc_r,L1I stall (% cycles),5.57815,63,1
spec26,SPEC-int,721.gcc_r,L1D-load MPKI,5.81868,63,1
spec26,SPEC-int,721.gcc_r,L2-load MPKI,0.773799,63,1
spec26,SPEC-int,721.gcc_r,LLC MPKI,0.217588,63,1
spec26,SPEC-int,721.gcc_r,L1D miss rate (%),2.17807,63,1
spec26,SPEC-int,721.gcc_r,L2-load miss rate (%),13.2985,63,1
spec26,SPEC-int,721.gcc_r,LLC miss rate (%),28.1195,63,1
spec26,SPEC-int,721.gcc_r,DRAM read (GB/s),1.57028,64,1
spec26,SPEC-int,721.gcc_r,Context switches (/CPU-s),6.00548,64,1
spec26,SPEC-fp,722.palm_r,IPC,3.00833,1678,1
spec26,SPEC-fp,722.palm_r,Branch MPKI,0.101706,209,1
spec26,SPEC-fp,722.palm_r,Branch-direction MPKI,0.113353,210,1
spec26,SPEC-fp,722.palm_r,BTB MPKI (BAClears),0.0152614,210,1
spec26,SPEC-fp,722.palm_r,uop-cache (DSB) MPKI,33.992,210,1
spec26,SPEC-fp,722.palm_r,DSB coverage (%),65.295,210,1
spec26,SPEC-fp,722.palm_r,L1I MPKI (code-read),9.06309,210,1
spec26,SPEC-fp,722.palm_r,L1I stall (% cycles),3.4367,210,1
spec26,SPEC-fp,722.palm_r,L1D-load MPKI,10.0771,210,1
spec26,SPEC-fp,722.palm_r,L2-load MPKI,0.86206,210,1
spec26,SPEC-fp,722.palm_r,LLC MPKI,0.488566,210,1
spec26,SPEC-fp,722.palm_r,L1D miss rate (%),2.61272,210,1
spec26,SPEC-fp,722.palm_r,L2-load miss rate (%),8.55461,210,1
spec26,SPEC-fp,722.palm_r,LLC miss rate (%),56.221,210,1
spec26,SPEC-fp,722.palm_r,DRAM read (GB/s),4.0052,210,1
spec26,SPEC-fp,722.palm_r,Context switches (/CPU-s),5.37778,209,1
spec26,SPEC-int,723.llvm_r,IPC,1.61932,698,1
spec26,SPEC-int,723.llvm_r,Branch MPKI,5.38538,87,1
spec26,SPEC-int,723.llvm_r,Branch-direction MPKI,5.45079,88,1
spec26,SPEC-int,723.llvm_r,BTB MPKI (BAClears),1.57245,88,1
spec26,SPEC-int,723.llvm_r,uop-cache (DSB) MPKI,66.8641,88,1
spec26,SPEC-int,723.llvm_r,DSB coverage (%),64.8033,88,1
spec26,SPEC-int,723.llvm_r,L1I MPKI (code-read),21.6804,87,1
spec26,SPEC-int,723.llvm_r,L1I stall (% cycles),7.66235,87,1
spec26,SPEC-int,723.llvm_r,L1D-load MPKI,4.16738,87,1
spec26,SPEC-int,723.llvm_r,L2-load MPKI,0.648608,87,1
spec26,SPEC-int,723.llvm_r,LLC MPKI,0.392782,87,1
spec26,SPEC-int,723.llvm_r,L1D miss rate (%),1.67535,87,1
spec26,SPEC-int,723.llvm_r,L2-load miss rate (%),15.5639,87,1
spec26,SPEC-int,723.llvm_r,LLC miss rate (%),60.5577,87,1
spec26,SPEC-int,723.llvm_r,DRAM read (GB/s),0.822699,87,1
spec26,SPEC-int,723.llvm_r,Context switches (/CPU-s),6.23139,87,1
spec26,SPEC-int,727.cppcheck_r,IPC,2.52549,306,1
spec26,SPEC-int,727.cppcheck_r,Branch MPKI,0.385167,38,1
spec26,SPEC-int,727.cppcheck_r,Branch-direction MPKI,0.422026,38,1
spec26,SPEC-int,727.cppcheck_r,BTB MPKI (BAClears),0.0136336,38,1
spec26,SPEC-int,727.cppcheck_r,uop-cache (DSB) MPKI,5.14531,38,1
spec26,SPEC-int,727.cppcheck_r,DSB coverage (%),97.2663,39,1
spec26,SPEC-int,727.cppcheck_r,L1I MPKI (code-read),0.506831,39,1
spec26,SPEC-int,727.cppcheck_r,L1I stall (% cycles),0.632509,39,1
spec26,SPEC-int,727.cppcheck_r,L1D-load MPKI,5.83705,38,1
spec26,SPEC-int,727.cppcheck_r,L2-load MPKI,0.736849,38,1
spec26,SPEC-int,727.cppcheck_r,LLC MPKI,0.378146,38,1
spec26,SPEC-int,727.cppcheck_r,L1D miss rate (%),2.73551,38,1
spec26,SPEC-int,727.cppcheck_r,L2-load miss rate (%),12.6236,38,1
spec26,SPEC-int,727.cppcheck_r,LLC miss rate (%),51.3194,38,1
spec26,SPEC-int,727.cppcheck_r,DRAM read (GB/s),3.59583,38,1
spec26,SPEC-int,727.cppcheck_r,Context switches (/CPU-s),4.14684,38,1
spec26,SPEC-int,729.abc_r,IPC,1.46507,62,1
spec26,SPEC-int,729.abc_r,Branch MPKI,11.848,7,1
spec26,SPEC-int,729.abc_r,Branch-direction MPKI,11.5275,8,1
spec26,SPEC-int,729.abc_r,BTB MPKI (BAClears),0.0287211,8,1
spec26,SPEC-int,729.abc_r,uop-cache (DSB) MPKI,0.880144,8,1
spec26,SPEC-int,729.abc_r,DSB coverage (%),99.5315,7,1
spec26,SPEC-int,729.abc_r,L1I MPKI (code-read),0.137622,8,1
spec26,SPEC-int,729.abc_r,L1I stall (% cycles),0.195972,8,1
spec26,SPEC-int,729.abc_r,L1D-load MPKI,13.1625,8,1
spec26,SPEC-int,729.abc_r,L2-load MPKI,0.999147,8,1
spec26,SPEC-int,729.abc_r,LLC MPKI,0.00527682,8,1
spec26,SPEC-int,729.abc_r,L1D miss rate (%),5.15166,8,1
spec26,SPEC-int,729.abc_r,L2-load miss rate (%),7.59084,8,1
spec26,SPEC-int,729.abc_r,LLC miss rate (%),0.528132,8,1
spec26,SPEC-int,729.abc_r,DRAM read (GB/s),1.66601,8,1
spec26,SPEC-int,729.abc_r,Context switches (/CPU-s),7.40521,8,1
spec26,SPEC-fp,731.astcenc_r,IPC,2.58807,462,1
spec26,SPEC-fp,731.astcenc_r,Branch MPKI,4.65353,58,1
spec26,SPEC-fp,731.astcenc_r,Branch-direction MPKI,4.85641,58,1
spec26,SPEC-fp,731.astcenc_r,BTB MPKI (BAClears),0.0179597,58,1
spec26,SPEC-fp,731.astcenc_r,uop-cache (DSB) MPKI,9.84358,58,1
spec26,SPEC-fp,731.astcenc_r,DSB coverage (%),92.6757,58,1
spec26,SPEC-fp,731.astcenc_r,L1I MPKI (code-read),0.877051,57,1
spec26,SPEC-fp,731.astcenc_r,L1I stall (% cycles),0.323587,57,1
spec26,SPEC-fp,731.astcenc_r,L1D-load MPKI,1.86623,58,1
spec26,SPEC-fp,731.astcenc_r,L2-load MPKI,0.0244921,58,1
spec26,SPEC-fp,731.astcenc_r,LLC MPKI,0.0003305,58,1
spec26,SPEC-fp,731.astcenc_r,L1D miss rate (%),0.604175,58,1
spec26,SPEC-fp,731.astcenc_r,L2-load miss rate (%),1.31238,58,1
spec26,SPEC-fp,731.astcenc_r,LLC miss rate (%),1.34941,58,1
spec26,SPEC-fp,731.astcenc_r,DRAM read (GB/s),0.203565,58,1
spec26,SPEC-fp,731.astcenc_r,Context switches (/CPU-s),3.80645,57,1
spec26,SPEC-int,734.vpr_r,IPC,2.14728,239,1
spec26,SPEC-int,734.vpr_r,Branch MPKI,2.88069,30,1
spec26,SPEC-int,734.vpr_r,Branch-direction MPKI,2.60428,30,1
spec26,SPEC-int,734.vpr_r,BTB MPKI (BAClears),0.0136038,30,1
spec26,SPEC-int,734.vpr_r,uop-cache (DSB) MPKI,8.83104,30,1
spec26,SPEC-int,734.vpr_r,DSB coverage (%),94.3574,30,1
spec26,SPEC-int,734.vpr_r,L1I MPKI (code-read),1.0897,30,1
spec26,SPEC-int,734.vpr_r,L1I stall (% cycles),0.849698,30,1
spec26,SPEC-int,734.vpr_r,L1D-load MPKI,8.44279,30,1
spec26,SPEC-int,734.vpr_r,L2-load MPKI,1.07218,30,1
spec26,SPEC-int,734.vpr_r,LLC MPKI,0.0950693,30,1
spec26,SPEC-int,734.vpr_r,L1D miss rate (%),2.72869,30,1
spec26,SPEC-int,734.vpr_r,L2-load miss rate (%),12.6994,30,1
spec26,SPEC-int,734.vpr_r,LLC miss rate (%),8.86691,30,1
spec26,SPEC-int,734.vpr_r,DRAM read (GB/s),2.84083,30,1
spec26,SPEC-int,734.vpr_r,Context switches (/CPU-s),1.97951,30,1
spec26,SPEC-int,735.gem5_r,IPC,2.63999,152,1
spec26,SPEC-int,735.gem5_r,Branch MPKI,0.823709,19,1
spec26,SPEC-int,735.gem5_r,Branch-direction MPKI,0.735352,19,1
spec26,SPEC-int,735.gem5_r,BTB MPKI (BAClears),0.057185,19,1
spec26,SPEC-int,735.gem5_r,uop-cache (DSB) MPKI,113.866,19,1
spec26,SPEC-int,735.gem5_r,DSB coverage (%),32.6744,19,1
spec26,SPEC-int,735.gem5_r,L1I MPKI (code-read),36.7701,19,1
spec26,SPEC-int,735.gem5_r,L1I stall (% cycles),7.34562,19,1
spec26,SPEC-int,735.gem5_r,L1D-load MPKI,20.5708,19,1
spec26,SPEC-int,735.gem5_r,L2-load MPKI,0.293079,19,1
spec26,SPEC-int,735.gem5_r,LLC MPKI,0.00100641,19,1
spec26,SPEC-int,735.gem5_r,L1D miss rate (%),6.6061,19,1
spec26,SPEC-int,735.gem5_r,L2-load miss rate (%),1.42473,19,1
spec26,SPEC-int,735.gem5_r,LLC miss rate (%),0.343392,19,1
spec26,SPEC-int,735.gem5_r,DRAM read (GB/s),0.320702,19,1
spec26,SPEC-int,735.gem5_r,Context switches (/CPU-s),3.11371,19,1
spec26,SPEC-fp,736.ocio_r,IPC,2.29993,50,1
spec26,SPEC-fp,736.ocio_r,Branch MPKI,0.0430478,6,1
spec26,SPEC-fp,736.ocio_r,Branch-direction MPKI,0.0484838,7,1
spec26,SPEC-fp,736.ocio_r,BTB MPKI (BAClears),0.0704313,7,1
spec26,SPEC-fp,736.ocio_r,uop-cache (DSB) MPKI,8.6815,7,1
spec26,SPEC-fp,736.ocio_r,DSB coverage (%),93.7434,6,1
spec26,SPEC-fp,736.ocio_r,L1I MPKI (code-read),0.735563,7,1
spec26,SPEC-fp,736.ocio_r,L1I stall (% cycles),0.428148,7,1
spec26,SPEC-fp,736.ocio_r,L1D-load MPKI,4.63455,6,1
spec26,SPEC-fp,736.ocio_r,L2-load MPKI,0.0800607,6,1
spec26,SPEC-fp,736.ocio_r,LLC MPKI,0.0506144,6,1
spec26,SPEC-fp,736.ocio_r,L1D miss rate (%),1.33205,6,1
spec26,SPEC-fp,736.ocio_r,L2-load miss rate (%),1.72747,6,1
spec26,SPEC-fp,736.ocio_r,LLC miss rate (%),63.22,6,1
spec26,SPEC-fp,736.ocio_r,DRAM read (GB/s),2.9007,6,1
spec26,SPEC-fp,736.ocio_r,Context switches (/CPU-s),2.81666,7,1
spec26,SPEC-fp,737.gmsh_r,IPC,1.99672,192,1
spec26,SPEC-fp,737.gmsh_r,Branch MPKI,3.99527,24,1
spec26,SPEC-fp,737.gmsh_r,Branch-direction MPKI,3.19163,24,1
spec26,SPEC-fp,737.gmsh_r,BTB MPKI (BAClears),0.025281,24,1
spec26,SPEC-fp,737.gmsh_r,uop-cache (DSB) MPKI,7.32579,24,1
spec26,SPEC-fp,737.gmsh_r,DSB coverage (%),96.4777,24,1
spec26,SPEC-fp,737.gmsh_r,L1I MPKI (code-read),0.321459,24,1
spec26,SPEC-fp,737.gmsh_r,L1I stall (% cycles),0.27266,24,1
spec26,SPEC-fp,737.gmsh_r,L1D-load MPKI,3.55769,24,1
spec26,SPEC-fp,737.gmsh_r,L2-load MPKI,0.595453,24,1
spec26,SPEC-fp,737.gmsh_r,LLC MPKI,0.129818,24,1
spec26,SPEC-fp,737.gmsh_r,L1D miss rate (%),1.22453,24,1
spec26,SPEC-fp,737.gmsh_r,L2-load miss rate (%),16.7371,24,1
spec26,SPEC-fp,737.gmsh_r,LLC miss rate (%),21.8015,24,1
spec26,SPEC-fp,737.gmsh_r,DRAM read (GB/s),0.844553,24,1
spec26,SPEC-fp,737.gmsh_r,Context switches (/CPU-s),2.8765,24,1
spec26,SPEC-fp,748.flightdm_r,IPC,3.15336,62,1
spec26,SPEC-fp,748.flightdm_r,Branch MPKI,0.0523633,7,1
spec26,SPEC-fp,748.flightdm_r,Branch-direction MPKI,0.0563465,8,1
spec26,SPEC-fp,748.flightdm_r,BTB MPKI (BAClears),0.0151603,8,1
spec26,SPEC-fp,748.flightdm_r,uop-cache (DSB) MPKI,80.2839,8,1
spec26,SPEC-fp,748.flightdm_r,DSB coverage (%),44.1434,8,1
spec26,SPEC-fp,748.flightdm_r,L1I MPKI (code-read),22.1312,8,1
spec26,SPEC-fp,748.flightdm_r,L1I stall (% cycles),3.46257,8,1
spec26,SPEC-fp,748.flightdm_r,L1D-load MPKI,13.0845,8,1
spec26,SPEC-fp,748.flightdm_r,L2-load MPKI,0.000754194,8,1
spec26,SPEC-fp,748.flightdm_r,LLC MPKI,2.08879e-05,8,1
spec26,SPEC-fp,748.flightdm_r,L1D miss rate (%),4.70347,8,1
spec26,SPEC-fp,748.flightdm_r,L2-load miss rate (%),0.00576402,8,1
spec26,SPEC-fp,748.flightdm_r,LLC miss rate (%),2.41844,8,1
spec26,SPEC-fp,748.flightdm_r,DRAM read (GB/s),0.00183784,8,1
spec26,SPEC-fp,748.flightdm_r,Context switches (/CPU-s),3.70028,8,1
spec26,SPEC-fp,749.fotonik3d_r,IPC,0.774801,1436,1
spec26,SPEC-fp,749.fotonik3d_r,Branch MPKI,0.0256101,180,1
spec26,SPEC-fp,749.fotonik3d_r,Branch-direction MPKI,0.0220412,179,1
spec26,SPEC-fp,749.fotonik3d_r,BTB MPKI (BAClears),0.103689,179,1
spec26,SPEC-fp,749.fotonik3d_r,uop-cache (DSB) MPKI,14.2044,179,1
spec26,SPEC-fp,749.fotonik3d_r,DSB coverage (%),79.8604,180,1
spec26,SPEC-fp,749.fotonik3d_r,L1I MPKI (code-read),0.128923,180,1
spec26,SPEC-fp,749.fotonik3d_r,L1I stall (% cycles),0.153084,180,1
spec26,SPEC-fp,749.fotonik3d_r,L1D-load MPKI,45.9485,179,1
spec26,SPEC-fp,749.fotonik3d_r,L2-load MPKI,19.3663,179,1
spec26,SPEC-fp,749.fotonik3d_r,LLC MPKI,18.0156,179,1
spec26,SPEC-fp,749.fotonik3d_r,L1D miss rate (%),15.7891,179,1
spec26,SPEC-fp,749.fotonik3d_r,L2-load miss rate (%),42.1477,179,1
spec26,SPEC-fp,749.fotonik3d_r,LLC miss rate (%),93.0257,179,1
spec26,SPEC-fp,749.fotonik3d_r,DRAM read (GB/s),11.3313,179,1
spec26,SPEC-fp,749.fotonik3d_r,Context switches (/CPU-s),5.28146,179,1
spec26,SPEC-int,750.sealcrypto_r,IPC,4.15115,1138,1
spec26,SPEC-int,750.sealcrypto_r,Branch MPKI,0.159716,142,1
spec26,SPEC-int,750.sealcrypto_r,Branch-direction MPKI,0.155114,143,1
spec26,SPEC-int,750.sealcrypto_r,BTB MPKI (BAClears),0.000768921,143,1
spec26,SPEC-int,750.sealcrypto_r,uop-cache (DSB) MPKI,4.36421,143,1
spec26,SPEC-int,750.sealcrypto_r,DSB coverage (%),93.7361,142,1
spec26,SPEC-int,750.sealcrypto_r,L1I MPKI (code-read),0.0470173,142,1
spec26,SPEC-int,750.sealcrypto_r,L1I stall (% cycles),0.154698,142,1
spec26,SPEC-int,750.sealcrypto_r,L1D-load MPKI,0.626293,142,1
spec26,SPEC-int,750.sealcrypto_r,L2-load MPKI,0.00810318,142,1
spec26,SPEC-int,750.sealcrypto_r,LLC MPKI,0.000420126,142,1
spec26,SPEC-int,750.sealcrypto_r,L1D miss rate (%),0.521766,142,1
spec26,SPEC-int,750.sealcrypto_r,L2-load miss rate (%),1.29383,142,1
spec26,SPEC-int,750.sealcrypto_r,LLC miss rate (%),5.15231,142,1
spec26,SPEC-int,750.sealcrypto_r,DRAM read (GB/s),0.783033,143,1
spec26,SPEC-int,750.sealcrypto_r,Context switches (/CPU-s),5.93167,143,1
spec26,SPEC-int,753.ns3_r,IPC,2.69308,188,1
spec26,SPEC-int,753.ns3_r,Branch MPKI,2.13669,23,1
spec26,SPEC-int,753.ns3_r,Branch-direction MPKI,1.33728,24,1
spec26,SPEC-int,753.ns3_r,BTB MPKI (BAClears),0.28567,24,1
spec26,SPEC-int,753.ns3_r,uop-cache (DSB) MPKI,43.1723,24,1
spec26,SPEC-int,753.ns3_r,DSB coverage (%),68.8128,23,1
spec26,SPEC-int,753.ns3_r,L1I MPKI (code-read),12.6261,23,1
spec26,SPEC-int,753.ns3_r,L1I stall (% cycles),6.31156,23,1
spec26,SPEC-int,753.ns3_r,L1D-load MPKI,4.37876,24,1
spec26,SPEC-int,753.ns3_r,L2-load MPKI,0.04342,24,1
spec26,SPEC-int,753.ns3_r,LLC MPKI,0.00206738,24,1
spec26,SPEC-int,753.ns3_r,L1D miss rate (%),1.74798,24,1
spec26,SPEC-int,753.ns3_r,L2-load miss rate (%),0.991606,24,1
spec26,SPEC-int,753.ns3_r,LLC miss rate (%),4.76136,24,1
spec26,SPEC-int,753.ns3_r,DRAM read (GB/s),0.0869892,23,1
spec26,SPEC-int,753.ns3_r,Context switches (/CPU-s),3.00253,23,1
spec26,SPEC-fp,765.roms_r,IPC,1.28197,1933,1
spec26,SPEC-fp,765.roms_r,Branch MPKI,0.0446483,242,1
spec26,SPEC-fp,765.roms_r,Branch-direction MPKI,0.0397177,241,1
spec26,SPEC-fp,765.roms_r,BTB MPKI (BAClears),0.00765755,241,1
spec26,SPEC-fp,765.roms_r,uop-cache (DSB) MPKI,1.08155,241,1
spec26,SPEC-fp,765.roms_r,DSB coverage (%),98.9597,242,1
spec26,SPEC-fp,765.roms_r,L1I MPKI (code-read),0.147533,242,1
spec26,SPEC-fp,765.roms_r,L1I stall (% cycles),0.320539,242,1
spec26,SPEC-fp,765.roms_r,L1D-load MPKI,27.7468,242,1
spec26,SPEC-fp,765.roms_r,L2-load MPKI,7.28725,242,1
spec26,SPEC-fp,765.roms_r,LLC MPKI,3.94359,242,1
spec26,SPEC-fp,765.roms_r,L1D miss rate (%),8.18571,242,1
spec26,SPEC-fp,765.roms_r,L2-load miss rate (%),26.2634,242,1
spec26,SPEC-fp,765.roms_r,LLC miss rate (%),54.1163,242,1
spec26,SPEC-fp,765.roms_r,DRAM read (GB/s),11.2687,241,1
spec26,SPEC-fp,765.roms_r,Context switches (/CPU-s),5.96709,241,1
spec26,SPEC-fp,766.femflow_r,IPC,2.87696,1016,1
spec26,SPEC-fp,766.femflow_r,Branch MPKI,0.0651536,127,1
spec26,SPEC-fp,766.femflow_r,Branch-direction MPKI,0.075502,127,1
spec26,SPEC-fp,766.femflow_r,BTB MPKI (BAClears),0.00758939,127,1
spec26,SPEC-fp,766.femflow_r,uop-cache (DSB) MPKI,28.2099,127,1
spec26,SPEC-fp,766.femflow_r,DSB coverage (%),72.7705,127,1
spec26,SPEC-fp,766.femflow_r,L1I MPKI (code-read),1.10314,127,1
spec26,SPEC-fp,766.femflow_r,L1I stall (% cycles),0.602621,127,1
spec26,SPEC-fp,766.femflow_r,L1D-load MPKI,9.15059,127,1
spec26,SPEC-fp,766.femflow_r,L2-load MPKI,0.947229,127,1
spec26,SPEC-fp,766.femflow_r,LLC MPKI,0.172846,127,1
spec26,SPEC-fp,766.femflow_r,L1D miss rate (%),3.1249,127,1
spec26,SPEC-fp,766.femflow_r,L2-load miss rate (%),10.3516,127,1
spec26,SPEC-fp,766.femflow_r,LLC miss rate (%),18.2476,127,1
spec26,SPEC-fp,766.femflow_r,DRAM read (GB/s),2.30743,127,1
spec26,SPEC-fp,766.femflow_r,Context switches (/CPU-s),4.50128,127,1
spec26,SPEC-fp,767.nest_r,IPC,1.80606,177,1
spec26,SPEC-fp,767.nest_r,Branch MPKI,1.59888,22,1
spec26,SPEC-fp,767.nest_r,Branch-direction MPKI,1.41097,22,1
