#	instance	short	lang	mech	leaf B/T/S	label	n_leaf	fence	cov%	cls%	why	runner-up
15	prometheus__prometheus-10720	prometheus-t10720	Go	A	50/49/1	M	19959	207	98	97	cell Go×M (n=15, 3 excl, median fence 209)	gohugoio-t12579
16	gohugoio__hugo-12579	gohugoio-t12579	Go	A	50/50/0	M	23335	288	99	97	top-up Go×M (majority; empty: S(n=0))	gohugoio-t12343
17	google__gson-1093	google-t1093	Java	J	48/16/36	B	209	40	100	97	cell Java×B (n=1, median fence 40)	-
18	google__gson-2134	google-t2134	Java	J	31/42/27	T	157	64	100	98	cell Java×T (n=1, median fence 64)	-
19	javaparser__javaparser-4538	javaparser-t4538	Java	J	20/36/45	M	164	193	100	99	cell Java×M (n=8, 2 excl, median fence 189)	projectlombok-t3697
20	projectlombok__lombok-3479	projectlombok-t3479	Java	J	6/13/81	S	437	210	100	98	cell Java×S (n=24, 3 excl, median fence 278)	projectlombok-t3052
21	laravel__framework-52684	laravel-t52684	PHP	I	50/13/36	B	171	5	104	72	cell PHP×B (n=2, median fence 4)	laravel-t53949
22	phpoffice__phpspreadsheet-3463	phpoffice-t3463	PHP	I	45/17/38	M	230	12	101	86	cell PHP×M (n=6, median fence 11)	briannesbitt-t3041
23	php-cs-fixer__php-cs-fixer-8064	php-cs-fixer-t8064	PHP	I	0/97/3	T	4292	42	97	92	cell PHP×T (n=11, 4 excl, median fence 42)	php-cs-fixer-t7875
24	briannesbitt__carbon-2752	briannesbitt-t2752	PHP	I	0/28/72	S	139	10	101	84	cell PHP×S (n=15, 2 excl, median fence 10)	briannesbitt-t3073
25	jordansissel__fpm-1829	jordansissel-t1829	Ruby	I	68/22/10	B	441	5	103	81	cell Ruby×B (n=1, median fence 5)	-
26	fluent__fluentd-3328	fluent-t3328	Ruby	I	0/66/33	T	431	20	100	89	Ruby×S slot CONVERTED to majority-T top-up 2026-08-27: rubocop-13396 unresolved (no patch) and the cell's only other member is E7-excluded — no resolvable S candidate; rank over 29 resolved-eligible (median 21.2)	jekyll-8167
27	rubocop__rubocop-13560	rubocop-t13560	Ruby	I	0/53/47	M	540	37	100	75	cell Ruby×M (n=2, 1 excl, median fence 37)	-
28	fastlane__fastlane-20958	fastlane-t20958	Ruby	I	0/92/8	T	441	22	100	92	cell Ruby×T (n=39, 2 excl, median fence 24)	fluent-t3466
29	preactjs__preact-3763	preactjs-t3763	JavaScript	N	40/50/10	M	1115	50	98	96	cell JavaScript×M (n=2, median fence 60)	preactjs-t4182
30	babel__babel-15649	babel-t15649	JavaScript	N	0/83/17	T	617	42	100	92	cell JavaScript×T (n=28, 2 excl, median fence 36)	axios-t6539
31	axios__axios-5892	axios-t5892	JavaScript	N	0/93/7	T	906	16	100	92	top-up JS×T resolution-replacement 2026-08-27: axios-6539 patch fails FAIL_TO_PASS; fresh-repo rank over resolved-eligible (median 64.2)	axios-t4731
32	mrdoob__three.js-26589	mrdoob-t26589	JavaScript	N	0/85/15	T	575	18	100	78	top-up JavaScript×T (majority; empty: B(n=0),S(n=1))	mrdoob-t27395
33	vuejs__core-11870	vuejs-t11870	TypeScript	N	5/7/88	S	5887	138	99	98	cell TS×S resolution-replacement 2026-08-27: core-11589 unresolved (no patch); rank over resolved-eligible (median 137.6)	vuejs-t11899
34	facebook__docusaurus-9897	facebook-t9897	TypeScript	N	0/90/10	T	1055	33	84	79	cell TypeScript×T (n=7, median fence 33)	facebook-t10130
35	immutable-js__immutable-js-2006	immutable-js-t2006	TypeScript	N	0/97/3	T	3782	655	92	91	top-up TypeScript×T (majority; empty: B(n=0),M(n=0))	immutable-js-t2005
36	facebook__docusaurus-10130	facebook-t10130	TypeScript	N	0/97/3	T	2156	23	100	93	top-up TypeScript×T (majority; empty: B(n=0),M(n=0))	facebook-t10309
	36 picks; cells covered: 26; repos: 31; languages: 9; total fence 4728 core-s (resolution-clean revision 2026-08-27)
