task,class,execution_time_s
phpoffice-bT,other bash,0.1132
phpoffice-bT,other bash,0.285
phpoffice-bT,other bash,0.25
phpoffice-bT,other bash,0.538
phpoffice-bT,other bash,5.5153
phpoffice-bT,git,0.1123
phpoffice-bT,git,0.1174
phpoffice-bT,internal,0.1124
phpoffice-bT,git,0.1198
phpoffice-bT,other bash,0.2506
phpoffice-bT,other bash,0.2098
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.1081
phpoffice-bT,git,0.1111
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.1082
phpoffice-bT,other bash,0.1097
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.109
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.1083
phpoffice-bT,other bash,0.1579
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.1086
phpoffice-bT,internal,0.0
phpoffice-bT,internal,0.1083
